host_species	taxid	host_genus	host_family	host_order	host_class
Amietia fuscigula	164736	Amietia	Pyxicephalidae	Anura	Amphibia
Tangara velia	256461	Tangara	Thraupidae	Passeriformes	Aves
Pogona minor	206602	Pogona	Agamidae	Squamata	Lepidosauria
Praomys daltoni	10113	Praomys	Muridae	Rodentia	Mammalia
Dipsas turgidus	1212733	Dipsas	Dipsadidae	Squamata	Lepidosauria
Pinoyscincus coxi	796717	Pinoyscincus	Scincidae	Squamata	Lepidosauria
Oreobates granulosus	509608	Oreobates	Strabomantidae	Anura	Amphibia
Saxicola leucurus	517760	Saxicola	Muscicapidae	Passeriformes	Aves
Eonycteris robusta	1091510	Eonycteris	Pteropodidae	Chiroptera	Mammalia
Hydrophis lapemoides	8684	Hydrophis	Hydrophiidae	Squamata	Lepidosauria
Trachemys adiutrix	365622	Trachemys	Emydidae	Testudines	Testudinata
Murina peninsularis	685783	Murina	Vespertilionidae	Chiroptera	Mammalia
Aneides hardii	154580	Aneides	Plethodontidae	Caudata	Amphibia
Auliscomys boliviensis	164752	Auliscomys	Cricetidae	Rodentia	Mammalia
Aceros nipalensis	866358	Aceros	Bucerotidae	Bucerotiformes	Aves
Dendrohyrax dorsalis	42325	Dendrohyrax	Procaviidae	Hyracoidea	Mammalia
Flexiseps tsaratananensis	249454	Flexiseps	Scincidae	Squamata	Lepidosauria
Neusticomys monticolus	548546	Neusticomys	Cricetidae	Rodentia	Mammalia
Phyllodactylus bordai	933628	Phyllodactylus	Phyllodactylidae	Squamata	Lepidosauria
Pseudacris clarkii	242566	Pseudacris	Hylidae	Anura	Amphibia
Ochotona annectens	130820	Ochotona	Ochotonidae	Lagomorpha	Mammalia
Lepus capensis	9981	Lepus	Leporidae	Lagomorpha	Mammalia
Ambystoma andersoni	282260	Ambystoma	Ambystomatidae	Caudata	Amphibia
Anadia rhombifera	1819603	Anadia	Gymnophthalmidae	Squamata	Lepidosauria
Pycnonotus eutilotus	270477	Pycnonotus	Pycnonotidae	Passeriformes	Aves
Cubophis caymanus	643611	Cubophis	Dipsadidae	Squamata	Lepidosauria
Anomaloglossus degranvillei	238107	Anomaloglossus	Dendrobatidae	Anura	Amphibia
Geocerthia serrana	427546	Geocerthia	Furnariidae	Passeriformes	Aves
Tachymarptis melba	670359	Tachymarptis	Apodidae	Apodiformes	Aves
Ingerophrynus macrotis	346453	Ingerophrynus	Bufonidae	Anura	Amphibia
Ptyas mucosa	31142	Ptyas	Colubridae	Squamata	Lepidosauria
Cubatyphlops caymanensis	759970	Cubatyphlops	Typhlopidae	Squamata	Lepidosauria
Psammomys vexillaris	323362	Psammomys	Muridae	Rodentia	Mammalia
Osteocephalus alboguttatus	993673	Osteocephalus	Hylidae	Anura	Amphibia
Charmosyna pulchella	678566	Charmosyna	Psittaculidae	Psittaciformes	Aves
Philothamnus nitidus	292875	Philothamnus	Colubridae	Squamata	Lepidosauria
Ctenophorus adelaidensis	564343	Ctenophorus	Agamidae	Squamata	Lepidosauria
Milvus migrans	52810	Milvus	Accipitridae	Accipitriformes	Aves
Chersobius boulengeri	285997	Chersobius	Testudinidae	Testudines	Testudinata
Limicola falcinellus	425645	Limicola	Scolopacidae	Charadriiformes	Aves
Rhipidura rennelliana	381041	Rhipidura	Rhipiduridae	Passeriformes	Aves
Rhinolophus marshalli	476588	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia
Neodon irene	798166	Neodon	Cricetidae	Rodentia	Mammalia
Pristimantis subsigillatus	448904	Pristimantis	Strabomantidae	Anura	Amphibia
Epipedobates tricolor	92736	Epipedobates	Dendrobatidae	Anura	Amphibia
Crinia tinnula	334659	Crinia	Myobatrachidae	Anura	Amphibia
Xenus cinereus	171277	Xenus	Scolopacidae	Charadriiformes	Aves
Pygeretmus pumilio	1041408	Pygeretmus	Dipodidae	Rodentia	Mammalia
Turdus pilaris	357736	Turdus	Turdidae	Passeriformes	Aves
Serinus totta	280047	Serinus	Fringillidae	Passeriformes	Aves
Sclerurus guatemalensis	592659	Sclerurus	Furnariidae	Passeriformes	Aves
Lepus starcki	100184	Lepus	Leporidae	Lagomorpha	Mammalia
Charadrahyla taeniopus	317354	Charadrahyla	Hylidae	Anura	Amphibia
Scotophilus nux	258953	Scotophilus	Vespertilionidae	Chiroptera	Mammalia
Morerella cyanophthalma	643481	Morerella	Hyperoliidae	Anura	Amphibia
Anas laysanensis	75850	Anas	Anatidae	Anseriformes	Aves
Epipedobates machalilla	248951	Epipedobates	Dendrobatidae	Anura	Amphibia
Aves	8782	Batis capensis	Batis	Passeriformes	Aves
Aspidoscelis marmoratus	403789	Aspidoscelis	Teiidae	Squamata	Lepidosauria
Cyrtodactylus malayanus	751990	Cyrtodactylus	Gekkonidae	Squamata	Lepidosauria
Trachylepis maculilabris	864816	Trachylepis	Scincidae	Squamata	Lepidosauria
Volemys musseri	164385	Volemys	Cricetidae	Rodentia	Mammalia
Tomopterna luganga	278971	Tomopterna	Pyxicephalidae	Anura	Amphibia
Aeronautes saxatalis	190674	Aeronautes	Apodidae	Apodiformes	Aves
Phyllomys nigrispinus	466163	Phyllomys	Echimyidae	Rodentia	Mammalia
Hylarana chalconota	127020	Hylarana	Ranidae	Anura	Amphibia
Trioceros wiedersheimi	179922	Trioceros	Chamaeleonidae	Squamata	Lepidosauria
Scolopax minor	56299	Scolopax	Scolopacidae	Charadriiformes	Aves
Trimeresurus yunnanensis	465449	Trimeresurus	Viperidae	Squamata	Lepidosauria
Petrosaurus repens	468931	Petrosaurus	Phrynosomatidae	Squamata	Lepidosauria
Merops boehmi	457315	Merops	Meropidae	Coraciiformes	Aves
Circus aeruginosus	8964	Circus	Accipitridae	Accipitriformes	Aves
Ctenotus brooksi	480725	Ctenotus	Scincidae	Squamata	Lepidosauria
Trachylepis occidentalis	356597	Trachylepis	Scincidae	Squamata	Lepidosauria
Coracina novaehollandiae	254452	Coracina	Campephagidae	Passeriformes	Aves
Cubophis fuscicauda	643612	Cubophis	Dipsadidae	Squamata	Lepidosauria
Pyrgilauda blanfordi	667180	Pyrgilauda	Passeridae	Passeriformes	Aves
Hemispingus verticalis	85540	Hemispingus	Fringillidae	Passeriformes	Aves
Stachyris dennistouni	181629	Stachyris	Timaliidae	Passeriformes	Aves
Callosciurus orestes	1002693	Callosciurus	Sciuridae	Rodentia	Mammalia
Strix nebulosa	126836	Strix	Strigidae	Strigiformes	Aves
Aneides flavipunctatus	154579	Aneides	Plethodontidae	Caudata	Amphibia
Lycalopex sechurae	68739	Lycalopex	Canidae	Carnivora	Mammalia
Morethia adelaidensis	394145	Morethia	Scincidae	Squamata	Lepidosauria
Lysapsus limellum	318369	Lysapsus	Hylidae	Anura	Amphibia
Dicrostonyx richardsoni	92537	Dicrostonyx	Cricetidae	Rodentia	Mammalia
Aethalops alecto	77227	Aethalops	Pteropodidae	Chiroptera	Mammalia
Phoenicopterus chilensis	117000	Phoenicopterus	Phoenicopteridae	Phoenicopteriformes	Aves
Eleutherodactylus dimidiatus	448438	Eleutherodactylus	Eleutherodactylidae	Anura	Amphibia
Drymophila ferruginea	464280	Drymophila	Thamnophilidae	Passeriformes	Aves
Molothrus ater	84834	Molothrus	Icteridae	Passeriformes	Aves
Nymphicus hollandicus	13180	Nymphicus	Cacatuidae	Psittaciformes	Aves
Diporiphora arnhemica	206584	Diporiphora	Agamidae	Squamata	Lepidosauria
Myotis evotis	257883	Myotis	Vespertilionidae	Chiroptera	Mammalia
Zosterops flavifrons	511756	Zosterops	Zosteropidae	Passeriformes	Aves
Neothraupis fasciata	62226	Neothraupis	Thraupidae	Passeriformes	Aves
Solenodon cubanus	264759	Solenodon	Solenodontidae	Eulipotyphla	Mammalia
Nesocharis shelleyi	247725	Nesocharis	Estrildidae	Passeriformes	Aves
Bleda syndactylus	182880	Bleda	Pycnonotidae	Passeriformes	Aves
Colostethus imbricolus	384863	Colostethus	Dendrobatidae	Anura	Amphibia
Aspidura trachyprocta	1296315	Aspidura	Colubridae	Squamata	Lepidosauria
Suncus stoliczkanus	268751	Suncus	Soricidae	Eulipotyphla	Mammalia
Poyntonophrynus dombensis	125247	Poyntonophrynus	Bufonidae	Anura	Amphibia
Hylopezus ochroleucus	519484	Hylopezus	Formicariidae	Passeriformes	Aves
Neurergus kaiseri	213856	Neurergus	Salamandridae	Caudata	Amphibia
Thoropa taophora	456503	Thoropa	Cycloramphidae	Anura	Amphibia
Ovophis zayuensis	1027824	Ovophis	Viperidae	Squamata	Lepidosauria
Vulpes macrotis	9630	Vulpes	Canidae	Carnivora	Mammalia
Emoia jakati	230623	Emoia	Scincidae	Squamata	Lepidosauria
Rhacophorus annamensis	191204	Rhacophorus	Rhacophoridae	Anura	Amphibia
Cricetulus migratorius	10032	Cricetulus	Cricetidae	Rodentia	Mammalia
Crocuta crocuta	9678	Crocuta	Hyaenidae	Carnivora	Mammalia
Micrurus dissoleucus	1117141	Micrurus	Elapidae	Squamata	Lepidosauria
Myrmotherula ignota	700771	Myrmotherula	Thamnophilidae	Passeriformes	Aves
Lathrotriccus euleri	183537	Lathrotriccus	Tyrannidae	Passeriformes	Aves
Eupsophus nahuelbutensis	247964	Eupsophus	Alsodidae	Anura	Amphibia
Trichastoma rostratum	1149679	Trichastoma	Pellorneidae	Passeriformes	Aves
Sturnia sinensis	381111	Sturnia	Sturnidae	Passeriformes	Aves
Agriornis micropterus	555145	Agriornis	Tyrannidae	Passeriformes	Aves
Ochetorhynchus ruficaudus	427544	Ochetorhynchus	Furnariidae	Passeriformes	Aves
Syrigma sibilatrix	110687	Syrigma	Ardeidae	Pelecaniformes	Aves
Marmosops noctivagus	126296	Marmosops	Didelphidae	Didelphimorphia	Mammalia
Chloropsis aurifrons	552877	Chloropsis	Irenidae	Passeriformes	Aves
Ophiomorus latastii	464978	Ophiomorus	Scincidae	Squamata	Lepidosauria
Feresa attenuata	103592	Feresa	Delphinidae	Artiodactyla	Mammalia
Ctenotus gemmula	480741	Ctenotus	Scincidae	Squamata	Lepidosauria
Hemidactylus citernii	343437	Hemidactylus	Gekkonidae	Squamata	Lepidosauria
Suncus montanus	148982	Suncus	Soricidae	Eulipotyphla	Mammalia
Thescelocichla leucopleura	374651	Thescelocichla	Pycnonotidae	Passeriformes	Aves
Stefania schuberti	318399	Stefania	Hemiphractidae	Anura	Amphibia
Acanthiza pusilla	117193	Acanthiza	Acanthizidae	Passeriformes	Aves
Poecilodryas superciliosa	665157	Poecilodryas	Petroicidae	Passeriformes	Aves
Hyloxalus infraguttatus	248782	Hyloxalus	Dendrobatidae	Anura	Amphibia
Darevskia sapphirina	113362	Darevskia	Lacertidae	Squamata	Lepidosauria
Newtonia brunneicauda	125290	Newtonia	Vangidae	Passeriformes	Aves
Bolitoglossa cf. peruviana 'lower Napo/Aguarico'	1307489	Bolitoglossa	Plethodontidae	Caudata	Amphibia
Garrulax chinensis	238863	Garrulax	Leiothrichidae	Passeriformes	Aves
Otomops wroughtoni	436903	Otomops	Molossidae	Chiroptera	Mammalia
Tangara lavinia	256449	Tangara	Thraupidae	Passeriformes	Aves
Apodemus argenteus	61837	Apodemus	Muridae	Rodentia	Mammalia
Amyda cartilaginea	161655	Amyda	Trionychidae	Testudines	Testudinata
Hirundo megaensis	768640	Hirundo	Hirundinidae	Passeriformes	Aves
Litoria xanthomera	79697	Litoria	Hylidae	Anura	Amphibia
Larus schistisagus	119607	Larus	Laridae	Charadriiformes	Aves
Syncope sp. 63	1271812	Syncope	Microhylidae	Anura	Amphibia
Rhacophorus lateralis	311822	Rhacophorus	Rhacophoridae	Anura	Amphibia
Carpodectes hopkei	114274	Carpodectes	Cotingidae	Passeriformes	Aves
Platyceps rhodorachis	166098	Platyceps	Colubridae	Squamata	Lepidosauria
Dryoscopus gambensis	85069	Dryoscopus	Malaconotidae	Passeriformes	Aves
Sphaerodactylus klauberi	58690	Sphaerodactylus	Sphaerodactylidae	Squamata	Lepidosauria
Coracina welchmani	498418	Coracina	Campephagidae	Passeriformes	Aves
Nomascus nasutus	327374	Nomascus	Hylobatidae	Primates	Mammalia
Tetrax tetrax	172684	Tetrax	Otididae	Gruiformes	Aves
Saltator similis	555342	Saltator	Thraupidae	Passeriformes	Aves
Perameles bougainville	120735	Perameles	Peramelidae	Peramelemorphia	Mammalia
Chiasmocleis bassleri	886579	Chiasmocleis	Microhylidae	Anura	Amphibia
Anolis ortonii	44141	Anolis	Dactyloidae	Squamata	Lepidosauria
Onychomys arenicola	38679	Onychomys	Cricetidae	Rodentia	Mammalia
Dasypus septemcinctus	1700840	Dasypus	Dasypodidae	Cingulata	Mammalia
Eunectes notaeus	51877	Eunectes	Boidae	Squamata	Lepidosauria
Potamogale velox	176119	Potamogale	Tenrecidae	Afrosoricida	Mammalia
Ortalis poliocephala	301701	Ortalis	Cracidae	Galliformes	Aves
Pyrilia pyrilia	303350	Pyrilia	Psittacidae	Psittaciformes	Aves
Nyctibatrachus petraeus	1104422	Nyctibatrachus	Nyctibatrachidae	Anura	Amphibia
Sceloporus magister	43627	Sceloporus	Phrynosomatidae	Squamata	Lepidosauria
Nyctibatrachus major	129023	Nyctibatrachus	Nyctibatrachidae	Anura	Amphibia
Hipposideros halophyllus	867827	Hipposideros	Hipposideridae	Chiroptera	Mammalia
Clytoceyx rex	342394	Clytoceyx	Alcedinidae	Coraciiformes	Aves
Draco haematopogon	89024	Draco	Agamidae	Squamata	Lepidosauria
Phacellodomus maculipectus	555303	Phacellodomus	Furnariidae	Passeriformes	Aves
Takydromus dorsalis	118843	Takydromus	Lacertidae	Squamata	Lepidosauria
Myotis blythii	109482	Myotis	Vespertilionidae	Chiroptera	Mammalia
Eutoxeres condamini	304638	Eutoxeres	Trochilidae	Apodiformes	Aves
Epipedobates boulengeri	92732	Epipedobates	Dendrobatidae	Anura	Amphibia
Colluricincla harmonica	254449	Colluricincla	Pachycephalidae	Passeriformes	Aves
Psophocichla litsitsirupa	311372	Psophocichla	Muscicapidae	Passeriformes	Aves
Incilius spiculatus	939169	Incilius	Bufonidae	Anura	Amphibia
Osteocephalus yasuni	993675	Osteocephalus	Hylidae	Anura	Amphibia
Eubalaena japonica	302098	Eubalaena	Balaenidae	Artiodactyla	Mammalia
Euplectes afer	229097	Euplectes	Ploceidae	Passeriformes	Aves
Laonastes aenigmamus	340180	Laonastes	Laonastidae	Rodentia	Mammalia
Physalaemus centralis	1033716	Physalaemus	Leptodactylidae	Anura	Amphibia
Dendrocincla fuliginosa	183179	Dendrocincla	Dendrocolaptidae	Passeriformes	Aves
Myuchelys georgesi	1041117	Myuchelys	Chelidae	Testudines	Testudinata
Gehyra borroloola	747203	Gehyra	Gekkonidae	Squamata	Lepidosauria
Callisaurus draconoides	43586	Callisaurus	Phrynosomatidae	Squamata	Lepidosauria
Sphecotheres vieilloti	254661	Sphecotheres	Corvidae	Passeriformes	Aves
Chioninia spinalis	889815	Chioninia	Scincidae	Squamata	Lepidosauria
Boana nympha	2720497	Boana	Hylidae	Anura	Amphibia
Dispholidus typus	46295	Dispholidus	Colubridae	Squamata	Lepidosauria
Tragelaphus scriptus	66440	Tragelaphus	Bovidae	Artiodactyla	Mammalia
Lasiorhinus latifrons	30668	Lasiorhinus	Vombatidae	Diprotodontia	Mammalia
Chelidoptera tenebrosa	1032514	Chelidoptera	Bucconidae	Galbuliformes	Aves
Eudyptes chrysolophus	79627	Eudyptes	Spheniscidae	Sphenisciformes	Aves
Xenagama sp. SVN-2012	1247908	Xenagama	Agamidae	Squamata	Lepidosauria
Glaucidium californicum	126806	Glaucidium	Strigidae	Strigiformes	Aves
Erythrolamprus epinephelus	758879	Erythrolamprus	Dipsadidae	Squamata	Lepidosauria
Pipile pipile	211679	Pipile	Cracidae	Galliformes	Aves
Petroica phoenicea	665152	Petroica	Petroicidae	Passeriformes	Aves
Alionycteris paucidentata	662937	Alionycteris	Pteropodidae	Chiroptera	Mammalia
Gambelia copeii	475045	Gambelia	Iguanidae	Squamata	Lepidosauria
Icterus bullockii	84822	Icterus	Icteridae	Passeriformes	Aves
Desmognathus aeneus	52096	Desmognathus	Plethodontidae	Caudata	Amphibia
Scytalopus femoralis	30431	Scytalopus	Rhinocryptidae	Passeriformes	Aves
Amphisbaena cubana	266057	Amphisbaena	Amphisbaenidae	Squamata	Lepidosauria
Galictis vittata	204265	Galictis	Mustelidae	Carnivora	Mammalia
Pristimantis pycnodermis	448846	Pristimantis	Strabomantidae	Anura	Amphibia
Bison bison	9901	Bison	Bovidae	Artiodactyla	Mammalia
Cordylus vittifer	126613	Cordylus	Cordylidae	Squamata	Lepidosauria
Cerberus australis	445406	Cerberus	Homalopsidae	Squamata	Lepidosauria
Lithobates vibicarius	299649	Lithobates	Ranidae	Anura	Amphibia
Sorex arizonae	304401	Sorex	Soricidae	Eulipotyphla	Mammalia
Albericus laurini	480209	Albericus	Microhylidae	Anura	Amphibia
Petrogale rothschildi	1119526	Petrogale	Macropodidae	Diprotodontia	Mammalia
Pterodroma inexpectata	37066	Pterodroma	Procellariidae	Procellariiformes	Aves
Mitophis sp. A SBH-2010	711078	Mitophis	Leptotyphlopidae	Squamata	Lepidosauria
Liocichla phoenicea	201338	Liocichla	Leiothrichidae	Passeriformes	Aves
Petaurista hainana	254709	Petaurista	Sciuridae	Rodentia	Mammalia
Saxicola ferreus	869928	Saxicola	Muscicapidae	Passeriformes	Aves
Aptenodytes patagonicus	9234	Aptenodytes	Spheniscidae	Sphenisciformes	Aves
Calyptomena viridis	135972	Calyptomena	Eurylaimidae	Passeriformes	Aves
Lygodactylus guibei	301844	Lygodactylus	Gekkonidae	Squamata	Lepidosauria
Gastrotheca riobambae	8420	Gastrotheca	Hemiphractidae	Anura	Amphibia
Phelsuma robertmertensi	357326	Phelsuma	Gekkonidae	Squamata	Lepidosauria
Pseudoboa coronata	121359	Pseudoboa	Dipsadidae	Squamata	Lepidosauria
Drysdalia coronoides	66186	Drysdalia	Elapidae	Squamata	Lepidosauria
Takydromus sauteri	118847	Takydromus	Lacertidae	Squamata	Lepidosauria
Sheppardia aurantiithorax	671085	Sheppardia	Turdidae	Passeriformes	Aves
Emberiza chrysophrys	504295	Emberiza	Fringillidae	Passeriformes	Aves
Craugastor pygmaeus	228437	Craugastor	Craugastoridae	Anura	Amphibia
Geomys texensis	72448	Geomys	Geomyidae	Rodentia	Mammalia
Microhierax fringillarius	1562127	Microhierax	Falconidae	Falconiformes	Aves
Neotoma isthmica	316116	Neotoma	Cricetidae	Rodentia	Mammalia
Limnonectes kuhlii	110107	Limnonectes	Dicroglossidae	Anura	Amphibia
Pristimantis danae	448622	Pristimantis	Strabomantidae	Anura	Amphibia
Cystophora cristata	39293	Cystophora	Phocidae	Carnivora	Mammalia
Lithobates neovolcanicus	200790	Lithobates	Ranidae	Anura	Amphibia
Monodelphis osgoodi	372560	Monodelphis	Didelphidae	Didelphimorphia	Mammalia
Litoria pallida	336079	Litoria	Hylidae	Anura	Amphibia
Cettia vulcania	393612	Cettia	Sylviidae	Passeriformes	Aves
Pristimantis buccinator	448576	Pristimantis	Strabomantidae	Anura	Amphibia
Dendropicos elliotii	367943	Dendropicos	Picidae	Piciformes	Aves
Neomorphus rufipennis	1118804	Neomorphus	Neomorphidae	Cuculiformes	Aves
Crocidura orii	268755	Crocidura	Soricidae	Eulipotyphla	Mammalia
Melanodryas cucullata	254554	Melanodryas	Petroicidae	Passeriformes	Aves
Ardea purpurea	188373	Ardea	Ardeidae	Pelecaniformes	Aves
Pseudorca crassidens	82174	Pseudorca	Delphinidae	Artiodactyla	Mammalia
Marmota marmota	9993	Marmota	Sciuridae	Rodentia	Mammalia
Acontias lineatus	764543	Acontias	Scincidae	Squamata	Lepidosauria
Varanus caudolineatus	386767	Varanus	Varanidae	Squamata	Lepidosauria
Antechinus godmani	71385	Antechinus	Dasyuridae	Dasyuromorphia	Mammalia
Nyctibatrachus minor	430795	Nyctibatrachus	Nyctibatrachidae	Anura	Amphibia
Lepidophyma lipetzi	480618	Lepidophyma	Xantusiidae	Squamata	Lepidosauria
Lithobates psilonota	299696	Lithobates	Ranidae	Anura	Amphibia
Hemispingus frontalis	85537	Hemispingus	Fringillidae	Passeriformes	Aves
Petaurista leucogenys	55156	Petaurista	Sciuridae	Rodentia	Mammalia
Eirenis coronelloides	256122	Eirenis	Colubridae	Squamata	Lepidosauria
Bufotes boulengeri	389288	Bufotes	Bufonidae	Anura	Amphibia
Tomopterna cryptotis	143410	Tomopterna	Pyxicephalidae	Anura	Amphibia
Mesoamericus bilobatus	102183	Mesoamericus	Diploglossidae	Squamata	Lepidosauria
Lithobates onca	152346	Lithobates	Ranidae	Anura	Amphibia
Madascincus igneocaudatus	665122	Madascincus	Scincidae	Squamata	Lepidosauria
Hirundo dimidiata	317137	Hirundo	Hirundinidae	Passeriformes	Aves
Oedipina gephyra	107986	Oedipina	Plethodontidae	Caudata	Amphibia
Calotes emma	52214	Calotes	Agamidae	Squamata	Lepidosauria
Chamaeleo gracilis	91909	Chamaeleo	Chamaeleonidae	Squamata	Lepidosauria
Onychostruthus taczanowskii	356909	Onychostruthus	Passeridae	Passeriformes	Aves
Liburnascincus scirtetis	583261	Liburnascincus	Scincidae	Squamata	Lepidosauria
Lemmus sibiricus	84769	Lemmus	Cricetidae	Rodentia	Mammalia
Eurillas gracilis	374617	Eurillas	Pycnonotidae	Passeriformes	Aves
Neotoma mexicana	105149	Neotoma	Cricetidae	Rodentia	Mammalia
Asthenes fuliginosa	644986	Asthenes	Furnariidae	Passeriformes	Aves
Liolaemus chehuachekenk	1089358	Liolaemus	Iguanidae	Squamata	Lepidosauria
Criniger ndussumensis	182885	Criniger	Pycnonotidae	Passeriformes	Aves
Coturnicops noveboracensis	302535	Coturnicops	Rallidae	Gruiformes	Aves
Proctoporus sp. KU212687	269751	Proctoporus	Gymnophthalmidae	Squamata	Lepidosauria
Thamnophilus nigrocinereus	175015	Thamnophilus	Thamnophilidae	Passeriformes	Aves
Lophotriorchis kienerii	2677971	Lophotriorchis	Accipitridae	Accipitriformes	Aves
Abrothrix markhami	430900	Abrothrix	Cricetidae	Rodentia	Mammalia
Phyllonycteris obtusa	869459	Phyllonycteris	Phyllostomidae	Chiroptera	Mammalia
Leiothlypis peregrina	1610824	Leiothlypis	Parulidae	Passeriformes	Aves
Anas chlorotis	75837	Anas	Anatidae	Anseriformes	Aves
Malacopteron magnum	1149643	Malacopteron	Timaliidae	Passeriformes	Aves
Cyanistes cyanus	156570	Cyanistes	Paridae	Passeriformes	Aves
Blanus mettetali	416033	Blanus	Blanidae	Squamata	Lepidosauria
Melomys rufescens	442587	Melomys	Muridae	Rodentia	Mammalia
Ambystoma barbouri	238860	Ambystoma	Ambystomatidae	Caudata	Amphibia
Anolis alutaceus	38882	Anolis	Dactyloidae	Squamata	Lepidosauria
Charadrius falklandicus	50396	Charadrius	Charadriidae	Charadriiformes	Aves
Pseudacris brachyphona	242570	Pseudacris	Hylidae	Anura	Amphibia
Xerus erythropus	327507	Xerus	Sciuridae	Rodentia	Mammalia
Mareca falcata	75844	Mareca	Anatidae	Anseriformes	Aves
Vipera transcaucasiana	235552	Vipera	Viperidae	Squamata	Lepidosauria
Tangara palmeri	256453	Tangara	Thraupidae	Passeriformes	Aves
Acanthiza chrysorrhoa	108821	Acanthiza	Acanthizidae	Passeriformes	Aves
Campephilus principalis	386521	Campephilus	Picidae	Piciformes	Aves
Morus bassanus	37578	Morus	Sulidae	Pelecaniformes	Aves
Haliaeetus vocifer	52649	Haliaeetus	Accipitridae	Accipitriformes	Aves
Indotyphlops pammeces	759975	Indotyphlops	Typhlopidae	Squamata	Lepidosauria
Oedipina complex	107970	Oedipina	Plethodontidae	Caudata	Amphibia
Salpornis spilonota	552928	Salpornis	Certhiidae	Passeriformes	Aves
Lithobates omiltemanus	299686	Lithobates	Ranidae	Anura	Amphibia
Stenocercus dumerilii	1734845	Stenocercus	Iguanidae	Squamata	Lepidosauria
Rungwecebus kipunji	371039	Rungwecebus	Cercopithecidae	Primates	Mammalia
Atlapetes gutturalis	380375	Atlapetes	Passerellidae	Passeriformes	Aves
Oreolalax popei	265044	Oreolalax	Megophryidae	Anura	Amphibia
Oreolais ruwenzorii	405071	Oreolais	Cisticolidae	Passeriformes	Aves
Pseudechis guttatus	239755	Pseudechis	Elapidae	Squamata	Lepidosauria
Otus lempiji	126860	Otus	Strigidae	Strigiformes	Aves
Aspidites melanocephalus	51883	Aspidites	Pythonidae	Squamata	Lepidosauria
Emoia pseudocyanura	46337	Emoia	Scincidae	Squamata	Lepidosauria
Petrogale purpureicollis	175627	Petrogale	Macropodidae	Diprotodontia	Mammalia
Charadrius leschenaultii	656192	Charadrius	Charadriidae	Charadriiformes	Aves
Ambystoma gracile	59636	Ambystoma	Ambystomatidae	Caudata	Amphibia
Tauraco hartlaubi	56304	Tauraco	Musophagidae	Musophagiformes	Aves
Callosciurus nigrovittatus	127501	Callosciurus	Sciuridae	Rodentia	Mammalia
Capra caucasica	72540	Capra	Bovidae	Artiodactyla	Mammalia
Pachycephala inornata	449358	Pachycephala	Pachycephalidae	Passeriformes	Aves
Euparkerella brasiliensis	1217870	Euparkerella	Craugastoridae	Anura	Amphibia
Crotalus intermedius	125868	Crotalus	Viperidae	Squamata	Lepidosauria
Darevskia saxicola	122331	Darevskia	Lacertidae	Squamata	Lepidosauria
Balaenoptera musculus	9771	Balaenoptera	Balaenopteridae	Artiodactyla	Mammalia
Monticola cinclorhyncha	140053	Monticola	Turdidae	Passeriformes	Aves
Ctenotus decaneurus	480732	Ctenotus	Scincidae	Squamata	Lepidosauria
Polihierax insignis	1562129	Polihierax	Falconidae	Falconiformes	Aves
Amphibolurus burnsi	993422	Amphibolurus	Agamidae	Squamata	Lepidosauria
Hypnale nepa	1297012	Hypnale	Viperidae	Squamata	Lepidosauria
Dasypus novemcinctus	9361	Dasypus	Dasypodidae	Cingulata	Mammalia
Leposoma scincoides	230643	Leposoma	Gymnophthalmidae	Squamata	Lepidosauria
Bolitoglossa riletti	187970	Bolitoglossa	Plethodontidae	Caudata	Amphibia
Eremias scripta	947070	Eremias	Lacertidae	Squamata	Lepidosauria
Hipposideros lekaguli	1207989	Hipposideros	Hipposideridae	Chiroptera	Mammalia
Eleutherodactylus unicolor	448502	Eleutherodactylus	Eleutherodactylidae	Anura	Amphibia
Ctenotus schevilli	480778	Ctenotus	Scincidae	Squamata	Lepidosauria
Sordellina punctata	1260375	Sordellina	Dipsadidae	Squamata	Lepidosauria
Ramphastos vitellinus	91793	Ramphastos	Ramphastidae	Piciformes	Aves
Hyalinobatrachium ibama	526157	Hyalinobatrachium	Centrolenidae	Anura	Amphibia
Trichoglossus ornatus	176060	Trichoglossus	Psittaculidae	Psittaciformes	Aves
Plethodon idahoensis	270336	Plethodon	Plethodontidae	Caudata	Amphibia
Lutra lutra	9657	Lutra	Mustelidae	Carnivora	Mammalia
Handleyomys saturatior	530173	Handleyomys	Cricetidae	Rodentia	Mammalia
Boana bischoffi	279990	Boana	Hylidae	Anura	Amphibia
Artibeus toltecus	40240	Artibeus	Phyllostomidae	Chiroptera	Mammalia
Hystrix cristata	10137	Hystrix	Hystricidae	Rodentia	Mammalia
Acris gryllus	317301	Acris	Hylidae	Anura	Amphibia
Rhopornis ardesiacus	464285	Rhopornis	Thamnophilidae	Passeriformes	Aves
Acanthodactylus opheodurus	111515	Acanthodactylus	Lacertidae	Squamata	Lepidosauria
Hylobates pileatus	9589	Hylobates	Hylobatidae	Primates	Mammalia
Cordylus meculae	884333	Cordylus	Cordylidae	Squamata	Lepidosauria
Hemipus hirundinaceus	370840	Hemipus	Campephagidae	Passeriformes	Aves
Mesoclemmys dahli	1234953	Mesoclemmys	Chelidae	Testudines	Testudinata
