host_species	taxid	host_genus	host_family	host_order	host_class
Taurotragus derbianus	303930	Taurotragus	Bovidae	Artiodactyla	Mammalia
Arvicanthis ansorgei	204747	Arvicanthis	Muridae	Rodentia	Mammalia
Pelodiscus axenaria	246115	Pelodiscus	Trionychidae	Testudines	Testudinata
Urocitellus richardsonii	37591	Urocitellus	Sciuridae	Rodentia	Mammalia
Pletholax gracilis	207565	Pletholax	Pygopodidae	Squamata	Lepidosauria
Pachydactylus maculatus	185350	Pachydactylus	Gekkonidae	Squamata	Lepidosauria
Chiropotes utahickae	280160	Chiropotes	Pitheciidae	Primates	Mammalia
Tomopterna krugerensis	164742	Tomopterna	Pyxicephalidae	Anura	Amphibia
Attila spadiceus	478645	Attila	Tyrannidae	Passeriformes	Aves
Marmosa xerophila	867172	Marmosa	Didelphidae	Didelphimorphia	Mammalia
Tyto alba	56313	Tyto	Tytonidae	Strigiformes	Aves
Rhynchogale melleri	210654	Rhynchogale	Herpestidae	Carnivora	Mammalia
Thamnophilus ruficapillus	419686	Thamnophilus	Thamnophilidae	Passeriformes	Aves
Myotis pruinosus	196298	Myotis	Vespertilionidae	Chiroptera	Mammalia
Myosciurus pumilio	226687	Myosciurus	Sciuridae	Rodentia	Mammalia
Pyrrhura melanura	311898	Pyrrhura	Psittacidae	Psittaciformes	Aves
Liopholis striata	1041597	Liopholis	Scincidae	Squamata	Lepidosauria
Hyla annectans	317325	Hyla	Hylidae	Anura	Amphibia
Litoria meiriana	318367	Litoria	Hylidae	Anura	Amphibia
Leopardus guigna	61386	Leopardus	Felidae	Carnivora	Mammalia
Peromyscus boylii	56316	Peromyscus	Cricetidae	Rodentia	Mammalia
Brachycephalus izecksohni	1030601	Brachycephalus	Brachycephalidae	Anura	Amphibia
Leopardus jacobita	713925	Leopardus	Felidae	Carnivora	Mammalia
Turdus smithi	236056	Turdus	Turdidae	Passeriformes	Aves
Nyctibatrachus cf. aliciae	129022	Nyctibatrachus	Nyctibatrachidae	Anura	Amphibia
Ansonia sp. KUHE 38071	522622	Ansonia	Bufonidae	Anura	Amphibia
