"","preprocessing_id","preprocessing_batch","sequence_id","index_id","reference_species","reference_closenees","reads_pre_fastp","reads_post_fastp","bases_pre_fastp","bases_post_fastp","adapter_trimmed_reads","adapter_trimmed_bases","host_reads","metagenomic_bases","host_bases","bacterial_archaeal_bases","singlem_fraction","nonpareil_coverage"
"23","PR00700","PRB0002","EHI00093","ABL92E1L1I1","Podarcis muralis","Same",27198380,26017012,4079757000,3707183126,5679060,215740592,1363664,3507549808,199633318,1885628303,"54%",0.7675
"24","PR00701","PRB0002","EHI00095","ABL86E1L1I1","Podarcis muralis","Same",18013512,17374782,2702026800,2525171823,2459843,85566947,1686716,2269181675,255990148,1435834781,"63%",0.8503
"25","PR00702","PRB0002","EHI00097","ABK46E1L1I1","Podarcis muralis","Same",31085950,29412092,4662892500,4137971084,7673406,304664794,2639232,3771419701,366551383,2233157124,"59%",0.8895
"26","PR00703","PRB0002","EHI00098","ABJ51E1L1I1","Podarcis muralis","Same",34897718,34027756,5234657700,4917018226,5533914,198982781,278142,4876970597,40047629,2640009002,"54%",0.85
"27","PR00704","PRB0002","EHI00100","ABK86E1L1I1","Podarcis muralis","Same",51795920,50521058,7769388000,7330697256,7323838,258118294,15761928,4932226498,2398470758,3096440925,"63%",0.8934
"28","PR00705","PRB0002","EHI00101","ABK73E1L1I1","Podarcis muralis","Same",54007652,52738086,8101147800,7375411735,14727120,566739137,3115932,6923483370,451928365,1482862217,"21%",0.8263
"29","PR00706","PRB0002","EHI00102","ABL98E1L1I1","Podarcis muralis","Same",18306758,17567466,2746013700,2507881046,3621936,146228988,13132724,0,2507881046,0,"0%",0.5149
"30","PR00707","PRB0002","EHI00103","ABJ75E1L1I1","Podarcis muralis","Same",19720476,19072640,2958071400,2754460333,3093485,112431567,5554712,1910930817,843529516,994801653,"52%",0.8082
"31","PR00708","PRB0002","EHI00104","ABL31E1L1I1","Podarcis muralis","Same",18392660,17778760,2758899000,2581900679,2516300,89636962,4207576,1938199010,643701669,994760321,"51%",0.8147
"32","PR00709","PRB0002","EHI00105","ABK67E1L1I1","Podarcis muralis","Same",26111450,25188116,3916717500,3645612419,3889364,145015376,44588,3639917634,5694785,2278497225,"63%",0.8552
"33","PR00710","PRB0002","EHI00106","ABM11E1L1I1","Podarcis muralis","Same",40749870,37506206,6112480500,5004217893,16346648,754457798,7844930,3945591141,1058626752,1682558053,"43%",0.9399
"34","PR00711","PRB0002","EHI00107","ABL02E1L1I1","Podarcis muralis","Same",34727030,33372668,5209054500,4827218986,5234682,189439081,1212064,4642961628,184257358,2710823433,"58%",0.8975
"35","PR00712","PRB0002","EHI00108","ABL27E1L1I1","Podarcis muralis","Same",26773384,25805812,4016007600,3674002956,5282571,222293900,2618670,3279831890,394171066,2091542867,"64%",0.9076
"36","PR00713","PRB0002","EHI00110","ABJ73E1L1I1","Podarcis muralis","Same",27533128,26359898,4129969200,3765081112,5444783,214025449,4064494,3173333843,591747269,2328640003,"73%",0.984
"37","PR00714","PRB0002","EHI00111","ABK03E1L1I1","Podarcis muralis","Same",35784960,34281934,5367744000,4928493825,6413318,233706747,1028132,4776539546,151954279,2786697560,"58%",0.8635
