extraction_concentration	extraction_volume	extraction_id	extraction_total	sample_id
0.00456	45	C1_EXB0100E1	0.2052	C1_EXB0100
15.8	45	AEV93E1	711	AEV93
0.0969	45	AHN75E1	4.3605	AHN75
12	45	AFM98E1	540	AFM98
0.77	45	AFZ40E1	34.65	AFZ40
1.36	45	AFM73E1	61.2	AFM73
6.21	45	AGO81E1	279.45	AGO81
0	45	C1_EXB0019E1	0	C1_EXB0019
0.933	45	AAM45E1	41.985	AAM45
10.9	45	AEX08E1	490.5	AEX08
10.9	45	AIJ53E2	490.5	AIJ53
21.9	45	AFZ50E1	985.4999999999999	AFZ50
0.659	45	AFT57E1	29.655	AFT57
8.1	45	ABQ01E2	364.5	ABQ01
0.292	45	AIF86E1	13.139999999999999	AIF86
0.1	45	AHO90E1	4.5	AHO90
2.03	45	AAP06E1	91.35	AAP06
0	45	AAC28E1	0	AAC28
4.01	45	ABL83E1	180.45	ABL83
11.5	45	AHG57E1	517.5	AHG57
0.359	45	AHV51E1	16.155	AHV51
3.48	45	AAH13E1	156.6	AAH13
7.41	45	ABQ28E1	333.45	ABQ28
0.693	45	ADA11E1	31.185	ADA11
NA	NA	C1_LIB0072E1	0	C1_LIB0072
5.66	45	ABW39E1	254.70000000000002	ABW39
1.95	45	ADA16E1	87.75	ADA16
13.2	45	AEL92E1	594	AEL92
0.74	45	BATB08E1	33.3	BATB08
6.7	45	AAV68E1	301.5	AAV68
34.9	45	AGD20E1	1570.5	AGD20
1.13	45	AHC14E1	50.849999999999994	AHC14
8.7	45	ABB27E1	391.49999999999994	ABB27
0.227	45	C1_EXB0080E1	10.215	C1_EXB0080
13.3	45	AFV12E1	598.5	AFV12
0.885	45	ABC31E1	39.825	ABC31
0.413	45	AEV50E1	18.584999999999997	AEV50
0.0744	45	C1_EXB0062E1	3.348	C1_EXB0062
3.8	45	ADG63E1	171	ADG63
0.0343	45	AIZ14E1	1.5434999999999999	AIZ14
0.058	45	ADV02E1	2.6100000000000003	ADV02
11.8	45	AEM16E1	531	AEM16
14.9	45	BATC01E1	670.5	BATC01
0.0393	45	AFH38E1	1.7685	AFH38
0.267	45	AEV25E1	12.015	AEV25
10.5	45	AEL82E1	472.5	AEL82
0.332	45	AAQ46E1	14.940000000000001	AAQ46
9.39	45	ABA67E1	422.55	ABA67
0	45	C1_EXB0096E1	0	C1_EXB0096
1.14	45	AFP39E2	51.3	AFP39
0.163	45	AAC06E2	7.335	AAC06
12.9	45	AGD17E1	580.5	AGD17
0.109	45	AHN55E1	4.905	AHN55
4.15	45	ABO04E1	186.75000000000003	ABO04
0.335	45	AAW32E1	15.075000000000001	AAW32
1.62	45	BATB14E1	72.9	BATB14
3.18	45	ABZ29E1	143.1	ABZ29
3.6	45	OPAU15E2	162	OPAU15
14.5	45	AA92E1	652.5	AA92
11.9	45	ACH10E1	535.5	ACH10
9.44	45	AHI41E1	424.79999999999995	AHI41
1.54	45	ACX53E2	69.3	ACX53
3.49	45	ABS28E1	157.05	ABS28
0.239	45	AGZ03E1	10.754999999999999	AGZ03
3.82	45	AFV24E1	171.9	AFV24
3.11	45	AAN31E1	139.95	AAN31
8.56	45	AHQ49E1	385.20000000000005	AHQ49
5.3	45	AGB82E1	238.5	AGB82
0.502	45	AEC30E1	22.59	AEC30
2.11	45	AHB78E1	94.94999999999999	AHB78
0	45	AFP05E2	0	AFP05
0.494	45	AAS20E1	22.23	AAS20
0.11	45	AAW59E1	4.95	AAW59
8.83	45	AEX13E1	397.35	AEX13
0.076	45	ACE36E1	3.42	ACE36
0.088	45	AHI98E1	3.96	AHI98
0.696	45	AAE23E1	31.319999999999997	AAE23
3.49	45	AFM75E1	157.05	AFM75
11.7	45	AJP40E1	526.5	AJP40
4.72	45	AFW40E1	212.39999999999998	AFW40
0.372	45	AGI42E2	16.74	AGI42
0.071	45	OPAU43E1	3.195	OPAU43
1.92	45	AGO12E1	86.39999999999999	AGO12
6.03	45	AAH35E1	271.35	AAH35
5.19	45	AGC06E1	233.55	AGC06
2.61	45	AIF70E1	117.44999999999999	AIF70
18.5	45	ABK21E1	832.5	ABK21
10.5	45	ABA05E1	472.5	ABA05
1.56	45	AAH81E1	70.2	AAH81
0.85	45	AAB96E1	38.25	AAB96
0.528	45	AAE15E1	23.76	AAE15
14.2	45	AFL08E1	639	AFL08
15.4	45	AGC50E1	693	AGC50
7.4	45	ACH02E1	333	ACH02
0.729	45	BATB03E1	32.805	BATB03
79.9	45	ABZ38E1	3595.5000000000005	ABZ38
0.207	45	AGI41E4	9.315	AGI41
5.68	45	ABD02E1	255.6	ABD02
11.3	45	AIQ87E1	508.50000000000006	AIQ87
6.6	45	AAL47E1	297	AAL47
0.415	45	ACZ92E1	18.675	ACZ92
1.61	45	ADU55E1	72.45	ADU55
6.41	45	AFQ85E1	288.45	AFQ85
0.0294	45	AAW47E1	1.323	AAW47
18.4	45	AIQ82E1	827.9999999999999	AIQ82
0.464	45	ADA01E1	20.880000000000003	ADA01
10.5	45	AGC4E1	472.5	AGC4
6.82	45	AHB79E1	306.90000000000003	AHB79
1.16	45	OPAU60E1	52.199999999999996	OPAU60
5.32	45	AGN82E1	239.4	AGN82
92	45	AIF77E2	4140	AIF77
1.66	45	AEM43E1	74.7	AEM43
31	45	AAA67E1	1395	AAA67
9.22	45	ABI47E1	414.90000000000003	ABI47
23.6	45	AIJ37E2	1062	AIJ37
14.8	45	AFW42E1	666	AFW42
1.08	45	ADD79E1	48.6	ADD79
1.37	45	AAD60E1	61.650000000000006	AAD60
50.6	45	AII26E2	2277	AII26
25.8	45	AEM04E1	1161	AEM04
0.961	45	AEZ07E1	43.245	AEZ07
6.38	45	ADM42E1	287.1	ADM42
22.8	45	AIG26E2	1026	AIG26
15.5	45	BATA01E1	697.5	BATA01
1.39	45	AGH49E1	62.55	AGH49
0.0394	45	ABD35E1	1.773	ABD35
4.26	45	AFU65E1	191.7	AFU65
3.79	45	AEL88E1	170.55	AEL88
0.405	45	ABT03E1	18.225	ABT03
5.93	45	AAS07E1	266.84999999999997	AAS07
7.43	45	ABA27E1	334.34999999999997	ABA27
1.62	45	AFQ67E1	72.9	AFQ67
14.3	45	ABJ45E1	643.5	ABJ45
5.3	45	AEU67E1	238.5	AEU67
2.47	45	ACZ94E2	111.15	ACZ94
71.5	45	AIH46E2	3217.5	AIH46
0.105	45	ACJ37E1	4.725	ACJ37
5.49	45	AAV31E1	247.05	AAV31
0.382	45	AFN13E1	17.19	AFN13
4.79	45	AFZ45E1	215.55	AFZ45
6.05	45	AHN78E1	272.25	AHN78
8.89	45	ADV63E1	400.05	ADV63
0.0421	45	ACE14E1	1.8944999999999999	ACE14
1.19	45	ADG75E1	53.55	ADG75
19.3	45	AAV27E1	868.5	AAV27
1.06	45	AGO08E1	47.7	AGO08
0.0569	45	AGI42E4	2.5604999999999998	AGI42
0.385	45	AFI26E1	17.325	AFI26
4.6	45	AEC35E1	206.99999999999997	AEC35
0.0987	45	ACE17E1	4.4415	ACE17
6.6	45	ABU40E1	297	ABU40
0.282	45	AJF96E1	12.69	AJF96
