"","preprocessing_id","preprocessing_batch","sequence_id","index_id","reference_species","reference_closenees","reads_pre_fastp","reads_post_fastp","bases_pre_fastp","bases_post_fastp","adapter_trimmed_reads","adapter_trimmed_bases","host_reads","metagenomic_bases","host_bases","bacterial_archaeal_bases","singlem_fraction","nonpareil_coverage","sequence_batch","index_library_molarity","pooling_index","pooling_dilution","pooling_volume","pooling_moles","pooling_adator_library_ratio","sequence_data","sequence_q20","sequence_q30","sequence_gc","library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required","extraction_batch","extraction_concentration","extraction_volume","extraction_total","sample_type","sample_freshness","sample_freezing","specimen_id","specimen_species","specimen_order","specimen_family","specimen_class","specimen_development","specimen_sex","specimen_length","specimen_weight","capture_id","capture_event_id","capture_place","capture_country","capture_biome","capture_environment","capture_latitude","capture_longitude","host_dup_percent","host_percent","tax_group"
"21","PR00698","PRB0002","EHI00091","ABI58E1L1I1","Podarcis muralis","Same",25401916,24634366,3810287400,3548012908,4197377,158908092,1582390,3317973426,230039482,1901581692,0.57,0.8564,"SEB001",23.23,139,2,1.1,12.8,0,4.1,95.42,88.95,43.16,"ABI58E1L1","LIB0004","ABI58","ABI58E1","EHI00091",24,153.6,6.4,20,10,"EXB0003",6.4,45,288,"Faecal","< 1 minute","< 14 days","SD00656","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",65,4.1,"SD0065601","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and rocky slopes",42.789,-0.597,0.155416,0.0648361457426806,"Reptiles"
"22","PR00699","PRB0002","EHI00092","ABJ91E1L1I1","Podarcis muralis","Same",43375542,42256660,6506331300,6114558933,6619689,239621938,1144520,5943716483,170842450,4396253715,0.74,0.9665,"SEB001",27.54,140,3,1.4,12.9,0,5.4,95.28,88.83,42.62,"ABJ91E1L1","LIB0004","ABJ91","ABJ91E1","EHI00092",21,195.3,9.3,20,10,"EXB0003",9.3,45,419,"Faecal","< 1 minute","< 21 days","SD00611","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",60,4.3,"SD0061101","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and stone-walls",42.627,0.764,0.165355,0.0279402736766459,"Reptiles"
"23","PR00700","PRB0002","EHI00093","ABL92E1L1I1","Podarcis muralis","Same",27198380,26017012,4079757000,3707183126,5679060,215740592,1363664,3507549808,199633318,1885628303,0.54,0.7675,"SEB001",33.67,141,3,1.2,13.5,0,2.7,95.33,89.15,45.36,"ABL92E1L1","LIB0004","ABL92","ABL92E1","EHI00093",24,37,1.54,10,13,"EXB0003",1.54,45,69,"Faecal","< 1 minute","< 21 days","SD00535","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",64,6.03,"SD0053501","MS0016",NA,"Spain","1000221 - Temperate woodland","Village",42.477,0.715,0.166237,0.0538504064177163,"Reptiles"
"24","PR00701","PRB0002","EHI00095","ABL86E1L1I1","Podarcis muralis","Same",18013512,17374782,2702026800,2525171823,2459843,85566947,1686716,2269181675,255990148,1435834781,0.63,0.8503,"SEB001",14.55,143,2,1.8,13.1,0,4.1,94.96,88.31,41.79,"ABL86E1L1","LIB0004","ABL86","ABL86E1","EHI00095",24,188.9,7.87,20,10,"EXB0003",7.87,45,354,"Faecal","< 1 minute","< 21 days","SD00519","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",53,3.97,"SD0051901","MS0016",NA,"Spain","1000221 - Temperate woodland","Village",42.477,0.715,0.163692,0.10137533837039,"Reptiles"
"25","PR00702","PRB0002","EHI00097","ABK46E1L1I1","Podarcis muralis","Same",31085950,29412092,4662892500,4137971084,7673406,304664794,2639232,3771419701,366551383,2233157124,0.59,0.8895,"SEB001",12.47,145,1,1,12.5,0.04,3.9,94.65,87.58,45.02,"ABK46E1L1","LIB0004","ABK46","ABK46E1","EHI00097",24,4.1,0.17,10,16,"EXB0003",0.17,45,8,"Faecal","< 1 minute","< 14 days","SD00632","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",61,4.1,"SD0063201","MS0016",NA,"Spain","1000221 - Temperate woodland","Rocky slopes of schists",42.775,-0.594,0.417861,0.0885823935351599,"Reptiles"
"26","PR00703","PRB0002","EHI00098","ABJ51E1L1I1","Podarcis muralis","Same",34897718,34027756,5234657700,4917018226,5533914,198982781,278142,4876970597,40047629,2640009002,0.54,0.85,"SEB001",21.08,146,2,1.2,12.6,0,3.5,94.59,87.55,40.83,"ABJ51E1L1","LIB0004","ABJ51","ABJ51E1","EHI00098",11,193.6,17.6,20,10,"EXB0003",17.6,45,792,"Faecal","< 1 minute","< 21 days","SD00591","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",66,7,"SD0059101","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and stone-walls",42.556,0.753,0.175493,0.00814469809939647,"Reptiles"
"27","PR00704","PRB0002","EHI00100","ABK86E1L1I1","Podarcis muralis","Same",51795920,50521058,7769388000,7330697256,7323838,258118294,15761928,4932226498,2398470758,3096440925,0.63,0.8934,"SEB001",45.53,148,4,1.1,12.5,0,2.8,94.46,87.42,43.04,"ABK86E1L1","LIB0004","ABK86","ABK86E1","EHI00100",24,143.8,5.99,20,10,"EXB0003",5.99,45,270,"Faecal","< 1 minute","< 21 days","SD00538","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",65,6.6,"SD0053801","MS0016",NA,"Spain","1000221 - Temperate woodland","Shrubs and rocks near river",42.598,0.763,0.166123,0.327181804709901,"Reptiles"
"28","PR00705","PRB0002","EHI00101","ABK73E1L1I1","Podarcis muralis","Same",54007652,52738086,8101147800,7375411735,14727120,566739137,3115932,6923483370,451928365,1482862217,0.21,0.8263,"SEB001",25.44,149,2,1,12.7,0,7.8,95.11,88.28,43.4,"ABK73E1L1","LIB0004","ABK73","ABK73E1","EHI00101",24,24,1,10,13,"EXB0003",1,45,45,"Faecal","< 1 minute","< 14 days","SD00644","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",58,5.5,"SD0064401","MS0016",NA,"Spain","1000221 - Temperate woodland","Rocky outcrops in forest and stone-walls",42.712,-0.607,0.362559,0.0612750014830189,"Reptiles"
"29","PR00706","PRB0002","EHI00102","ABL98E1L1I1","Podarcis muralis","Same",18306758,17567466,2746013700,2507881046,3621936,146228988,13132724,0,2507881046,0,0,0.5149,"SEB001",20.35,150,2,1.3,13.2,0,6.1,94.54,87.84,43.47,"ABL98E1L1","LIB0004","ABL98","ABL98E1","EHI00102",24,3.9,0.16,10,16,"EXB0003",0.16,45,7,"Faecal","< 1 minute","< 21 days","SD00533","Podarcis muralis","Squamata","Lacertidae","Reptilia","Adult","Male",71,6.96,"SD0053301","MS0016",NA,"Spain","1000221 - Temperate woodland","Village",42.477,0.715,0.218543,1,"Reptiles"
"30","PR00707","PRB0002","EHI00103","ABJ75E1L1I1","Podarcis muralis","Same",19720476,19072640,2958071400,2754460333,3093485,112431567,5554712,1910930817,843529516,994801653,0.52,0.8082,"SEB001",5.92,151,1,2.2,13,0,4.3,92.76,85.6,43.59,"ABJ75E1L1","LIB0004","ABJ75","ABJ75E1","EHI00103",24,167,6.96,20,7,"EXB0003",6.96,45,313,"Faecal","< 1 minute","< 21 days","SD00603","Podarcis muralis","Squamata","Lacertidae","Reptilia","Unknown","Male",64,6.7,"SD0060301","MS0016",NA,"Spain","1000221 - Temperate woodland","Boulders and stone-walls",42.627,0.764,0.172421,0.306241301025118,"Reptiles"
