sequence_id	sequence_data	sequence_q20	sequence_q30	sequence_gc	index_id
EHI01686	2.9318133	96.3	93.13	45.18	OPAU52E1L1I1
EHI00346	2.9	96.33	90.61	40.85	AAM10E1L1I2
EHI00240	5.8	96.91	91.88	44.44	AAT07E2L2I1
EHI01267	6.689121	97.18	92.78	45.22	ACS52E1L1I1
EHI00012	3.9	95.46	89.18	44.45	AAS19E1L1I1
EHI00189	4.6	94	86.23	35.73	OPAU14E1L1I1
EHI00222	1.9	96.57	91.43	51.86	BATC14E1L1I2
EHI02043	NA	NA	NA	NA	AFT05E1L1I1
EHI01761	6.3484011	96.54	91.43	40.42	AAA11E1L1I1
EHI02413	4.6029561	96.88	92.23	44.23	ACO89E1L1I1
EHI00106	2.6	94.79	87.72	41.9	ABM11E1L1I1
EHI00817	6.0550191	97.25	92.64	44.13	ACE17E1L1I1
EHI01190	5.6221233	96.19	90.85	43.09	AIJ02E1L1I1
EHI00324	4.6	96.94	92.55	57.58	BATB17E1L1I2
EHI02297	NA	NA	NA	NA	AAZ50E1L1I1
EHI02482	2.1403614	96.22	91.02	43.58	AGJ25E1L1I1
EHI01236	30.4951611	97.11	92.58	43.08	AAW13E1L1I1
EHI02137	NA	NA	NA	NA	AGI58E2L1I1
EHI00870	9e-7	96.11	86.22	44.44	ABS39E1L1I1
EHI02358	4.0394463	96.57	91.72	45.45	AFI16E1L1I1
EHI00049	3.3	95.43	89.09	43.65	AD79E1L1I2
EHI00856	7.8440784	97.13	92.83	57.7	ACD98E1L1I1
EHI01496	3.5614662	96.6	91.81	48.47	ACH28E1L1I1
EHI01636	6.6242406	96.09	91.2	46.74	AII97E1L1I1
EHI00100	2.8	94.46	87.42	43.04	ABK86E1L1I1
EHI01692	2.0299455	95.81	92.38	42.24	OPAU6E1L1I1
EHI00128	2.7	94.71	87.73	44.71	ABL76E1L1I1
EHI00032	3.6	94.18	87.5	43.03	NSAP54E1L1I1
EHI00466	6.4	97.59	93.68	50.27	AFW12E1L1I1
EHI02233	NA	NA	NA	NA	AGD69E1L1I1
EHI00810	7.4028438	97.12	92.42	39.5	AAH89E1L1I1
EHI00451	7.1	97.15	92.81	44.41	ADL90E1L1I1
EHI00946	2.9229552	97.52	93.16	47.01	ACE31E1L1I1
EHI01469	4.9072539	96.43	91.38	47.49	AAU79E1L1I1
EHI01502	4.3711794	95.14	89.92	49.12	AAV31E1L1I1
EHI02104	NA	NA	NA	NA	AGO69E2L1I1
