metagenomic_bases	nonpareil_coverage	preprocessing_id	host_bases	reference_closenees	sequence_id	reads_pre_fastp	reads_post_fastp	bases_pre_fastp	bases_post_fastp	adapter_trimmed_reads	adapter_trimmed_bases	host_reads	singlem_fraction	host_duplicate_fraction	reference_id	sample_id
2419777905	0.716304978630546	PR02768	613053217	Other	EHI02157	21491464	20674460	3223719600	3032831122	2516077	71243105	3743598	0.5687	0.115646	G0001	AHB57
2107120348	0.906741418905589	PR01164	1394310076	Other	EHI00301	25094798	24344906	3764219700	3501430424	4647587	173879643	8872346	0.7977	NA	G0025	AFN23
0	0	PR01554	5862921462	Same	EHI00966	41630168	40786560	6244525200	5862921462	7302436	268274512	39622096	0	NA	G0002	AA90
1131039345	0.985830815451062	PR00925	4410159724	Same	EHI00460	38824664	38175936	5823699600	5541199069	5319367	191833401	30012108	0.8142	NA	G0008	ADD91
842765736	0.785291050358408	PR01429	5731028846	Other	EHI00815	45670410	44618822	6850561500	6573794582	4326417	134605337	35488064	0.08810000000000001	NA	G0031	ACD23
5025719309	0.773799910950967	PR01465	84935397	Same	EHI00793	35578252	34721040	5336737800	5110654706	3335073	103445680	557698	0.0024	NA	G0019	AAH39
2536111266	0.912422756001798	PR03312	23503	Other	EHI02625	17687404	17267788	2653110600	2536134769	2077512	54917547	131	0.7587999999999999	0.022727	G0047	AJP65
0	0.494252996418206	PR03141	3652167130	Other	EHI02419	25902966	25186068	3885444900	3652167130	4541109	136698592	21017030	0	0.09872	G0025	AAD99
0	0.91287453760303	PR01931	4251681000	Same	EHI01142	33121456	30999774	4968218400	4251681000	11443527	512261339	25955848	0	NA	G0054	AIG33
6324001628	0.792777973748619	PR02945	11475238	Same	EHI02258	45417036	43423304	6812555400	6335476866	6356562	188985753	58349	0.4919	0.078099	G0043	AAN31
4779888880	0.844883888740023	PR00715	85183185	Same	EHI00112	37190432	34527894	5578564800	4865072065	8514186	401380189	608948	0.5735	NA	G0001	ABK20
4825462603	0.992739408377882	PR03127	1476123228	Same	EHI02436	43697908	42838860	6554686200	6301585831	4776514	120273062	9902346	0.7389	0.099664	G0014	ACK42
1710527677	0.867025165266954	PR03158	2200464814	Other	EHI02448	28041106	26813194	4206165900	3910992491	4096353	120467390	14664714	0.1589	0.125258	G0025	AAH43
1170487889	0.989372607428486	PR01499	2039524181	Other	EHI00827	31557744	22529500	4733661600	3210012070	13244746	740821904	13939462	0.6036	NA	G0030	ACD27
736297986	0.93560266535779	PR01122	5306284098	Other	EHI00087	44570706	43084522	6685605900	6042582084	11425992	476990115	37050570	0.6679	NA	G0005	AAW12
6314492193	0.926657654414976	PR01497	22138894	Other	EHI00823	43708020	42838862	6556203000	6336631087	3478659	113246935	114759	0.052000000000000005	NA	G0030	ACD21
988649995	0.879052026807699	PR01434	5523147596	Other	EHI00824	45583180	44538962	6837477000	6511797591	6068645	213795311	34577584	0.1517	NA	G0031	ACD94
5338113104	0.875933387455486	PR01521	114051393	Other	EHI01049	39286534	37756784	5892980100	5452164497	6278238	222286444	733501	0.5765	NA	G0001	AFP45
0	0.77667418992057	PR01512	4248501012	Other	EHI00573	33061636	31099034	4959245400	4248501012	10892354	457795036	330896	0	NA	G0033	C1_EXB0032
7784654503	0.917013355765474	PR01522	25181423	Other	EHI01050	54123898	53428192	8118584700	7809835926	6329387	214497739	164424	0.7006999999999999	NA	G0001	ACX29
968487273	0.546092103657391	PR01078	1451565686	Other	EHI00013	22131412	18818138	3319711800	2420052959	10544027	591124117	10589322	0.5396	NA	G0003	AAS17
6386104034	0.866691635018438	PR02763	24591015	Other	EHI02149	45329034	43673332	6799355100	6410695049	5135768	146889629	159130	0.6966	0.116951	G0001	ABR25
6367627409	0.69756814071221	PR02254	90500662	Other	EHI01650	52517176	47982736	7877576400	6458128071	21775399	987239618	657273	0.0171	0.162553	G0054	AIF97
4207510286	0.936899575250323	PR02442	46558917	Same	EHI01487	29235666	28548872	4385349900	4254069203	1118675	29510032	316670	0.7927	0.203404	G0008	ADW06
7721202331	0.972467372772205	PR01149	599108348	Other	EHI00205	58474022	56099338	8771103300	8320310679	3480574	132378435	3322672	0.7481	NA	G0001	ABM07
