library_id	library_adaptor_molarity	library_PCR_cycles_required	library_input_dna	library_input_volume	extraction_id	sample_id	sequencing_datasets
ADK31E1L2	20	10	32.88	24	ADK31E1	ADK31	NA
ADC15E1L1	20	7	85.2	24	ADC15E1	ADC15	EHI00784
AFN23E1L1	10	14	2.5	20	AFN23E1	AFN23	EHI00301
AAC06E2L1	10	13	4	24	AAC06E2	AAC06	EHI00143
AHV45E1L1	20	5	200	5.1	AHV45E1	AHV45	EHI01814
ACX42E1L1	10	10	11.088	24	ACX42E1	ACX42	NA
ADK22E1L1	20	4	196.8	8	ADK22E1	ADK22	NA
AEL11E1L1	10	8	35.28	24	AEL11E1	AEL11	EHI01516
AAC91E1L1	20	12	57.6	24	AAC91E1	AAC91	EHI00045
ABP91E1L1	20	5	140.4	24	ABP91E1	ABP91	EHI00459
AGI06E1L1	10	8	17.784	24	AGI06E1	AGI06	EHI01768
AAB69E1L2	10	0	0	24	AAB69E1	AAB69	NA
ABS11E1L1	20	6	200	18.2	ABS11E1	ABS11	EHI00949
AAT45E1L1	10	10	260.55	27	AAT45E1	AAT45	NA
AFU61E1L1	20	5	189	8	AFU61E1	AFU61	EHI00764
ADV69E1L1	10	7	24.72	24	ADV69E1	ADV69	EHI00367
AGF90E1L1	10	9	32.16	24	AGF90E1	AGF90	EHI00600
AAW27E1L1	10	16	25.2	24	AAW27E1	AAW27	EHI00123
AEA89E1L1	20	5	200	11.3	AEA89E1	AEA89	EHI02259
ABC58E1L1	20	6	200	15.3	ABC58E1	ABC58	EHI02272
ABK90E1L1	20	10	190.32	24	ABK90E1	ABK90	EHI00086
AFU91E1L1	20	9	175.92	24	AFU91E1	AFU91	NA
AJP55E1L1	20	4	200	12.9	AJP55E1	AJP55	EHI01985
AFT19E1L1	20	4	54.72	24	AFT19E1	AFT19	EHI02050
AIH55E1L1	20	5	200	20.2	AIH55E1	AIH55	EHI01133
AAC21E1L2	10	0	0	24	AAC21E1	AAC21	NA
AAP87E1L1	20	6	103.92	24	AAP87E1	AAP87	EHI01628
BATA05E1L1	20	10	195	15	BATA05E1	BATA05	EHI00312
ADM42E1L1	20	5	153.12	24	ADM42E1	ADM42	EHI00484
AFW84E1L1	20	4	168.96	24	AFW84E1	AFW84	EHI00551
ACK80E1L1	10	11	10.416	24	ACK80E1	ACK80	EHI01397
AAC86E1L1	50	8	385	11	AAC86E1	AAC86	NA
ABC54E1L1	20	6	72.48	24	ABC54E1	ABC54	EHI02271
ABK48E1L1	20	10	118.56	24	ABK48E1	ABK48	EHI00138
AGI64E1L1	5	13	0.2292	24	AGI64E1	AGI64	EHI01782
C1_EXB0070E1L1	5	20	0.6648	24	C1_EXB0070E1	C1_EXB0070	NA
AIH66E1L1	20	4	195.84	24	AIH66E1	AIH66	EHI01132
AIY89E1L1	5	13	3.36	24	AIY89E1	AIY89	EHI02650
AAC79E1L2	10	0	0	24	AAC79E1	AAC79	NA
OPAU50E1L1	10	5	41.76	24	OPAU50E1	OPAU50	EHI00542
ABQ79E1L1	5	15	5.856	24	ABQ79E1	ABQ79	EHI00912
AAN05E1L1	20	7	68.88	24	AAN05E1	AAN05	EHI00875
AGI58E3L1	5	16	5.496	24	AGI58E3	AGI58	EHI02122
AGJ46E1L1	20	8	73.68	24	AGJ46E1	AGJ46	EHI02466
AIH97E1L1	10	10	13.752	24	AIH97E1	AIH97	EHI01193
AAA90E1L1	20	7	200	8.9	AAA90E1	AAA90	EHI01477
AAB85E2L1	10	16	2.88	24	AAB85E2	AAB85	EHI00063
AFU84E1L1	10	7	46.8	24	AFU84E1	AFU84	NA
ACD21E1L1	5	13	1.7208	24	ACD21E1	ACD21	EHI00823
ABK47E1L1	20	6	200	6	ABK47E1	ABK47	EHI01717
ABS92E1L2	10	21	18.44	20	ABS92E1	ABS92	EHI00623
AGD18E1L2	20	6	200	3.5	AGD18E1	AGD18	NA
AEX97E1L1	20	7	183.4	7	AEX97E1	AEX97	EHI00700
AKD75E1L1	5	15	0.4848	24	AKD75E1	AKD75	NA
ACD47E1L1	5	16	0.8712	24	ACD47E1	ACD47	EHI00886
AIG75E1L1	20	7	151.2	24	AIG75E1	AIG75	EHI01095, EHI01655
L1	10	16	5.65	25	NA	NA	NA
ABS06E1L1	10	7	30	24	ABS06E1	ABS06	EHI00903
AFL15E1L1	20	6	182.4	6	AFL15E1	AFL15	EHI00710
C2_EXB0010E1L1	10	19	0	24	C2_EXB0010E1	C2_EXB0010	NA
ACZ37E1L1	10	6	29.52	24	ACZ37E1	ACZ37	NA
AIF88E1L1	20	4	200	12.5	AIF88E1	AIF88	EHI01096
AFM98E1L1	20	6	192	16	AFM98E1	AFM98	EHI00724
ABA17E1L1	20	9	68.88	24	ABA17E1	ABA17	EHI01517
AEX21E1L1	20	6	161.04	24	AEX21E1	AEX21	EHI00683
AAN16E1L1	20	4	200	9.6	AAN16E1	AAN16	EHI02245
AHU89E1L1	20	5	200	11.6	AHU89E1	AHU89	EHI01815
ABX09E1L1	10	11	45.6	24	ABX09E1	ABX09	EHI01773
ABW35E1L1	20	24	85.92	24	ABW35E1	ABW35	EHI00860
AFH49E1L1	10	8	40.32	24	AFH49E1	AFH49	EHI02467
ABC51E1L1	20	8	90.24	24	ABC51E1	ABC51	EHI02032
AIJ13E1L1	20	4	200	5.2	AIJ13E1	AIJ13	EHI01134
AAV99E1L1	10	10	21.984	24	AAV99E1	AAV99	EHI01518
AIJ53E1L1	10	8	35.76	24	AIJ53E1	AIJ53	EHI01824
ABS92E1L1	10	7	22.128	24	ABS92E1	ABS92	NA
L1	10	16	2.425	25	NA	NA	NA
ACZ13E1L1	5	11	1.92	24	ACZ13E1	ACZ13	NA
AJP39E1L1	20	7	88.8	24	AJP39E1	AJP39	EHI02615
AFM60E1L1	20	6	197.6	13	AFM60E1	AFM60	EHI00717
ADM18E1L1	20	3	200.2	14	ADM18E1	ADM18	EHI00529
AGI03E1L1	5	12	3.168	24	AGI03E1	AGI03	EHI01783
ABC05E1L1	20	10	138.96	24	ABC05E1	ABC05	EHI01519
AAE23E1L1	10	9	16.704	24	AAE23E1	AAE23	EHI01212
ADV57E1L1	10	16	0	24	ADV57E1	ADV57	NA
AGN75E1L1	20	5	200	20.1	AGN75E1	AGN75	NA
AAP70E1L1	20	7	100.08	24	AAP70E1	AAP70	EHI01630
L1	10	16	2.25	25	NA	NA	NA
AHE10E1L1	20	4	200	9.6	AHE10E1	AHE10	EHI02195
AEC24E1L1	20	10	150.48	24	AEC24E1	AEC24	EHI02082
AGP26E1L1	20	7	81.84	24	AGP26E1	AGP26	EHI02616
AAQ15E1L1	20	8	76.08	24	AAQ15E1	AAQ15	EHI01445
AFK63E1L1	10	10	38.4	24	AFK63E1	AFK63	EHI00735
AAC28E1L1	10	12	0	24	AAC28E1	AAC28	NA
ABP37E1L1	20	4	200	3.6	ABP37E1	ABP37	EHI00535
AFT09E1L1	5	9	4.44	24	AFT09E1	AFT09	EHI02061
AAD36E1L1	20	6	64.08	24	AAD36E1	AAD36	EHI01166
ACZ48E1L1	20	16	38.4	24	ACZ48E1	ACZ48	EHI00358, EHI01675
AHN23E1L1	5	12	1.1112	24	AHN23E1	AHN23	EHI02553, EHI02675
AIS11E1L1	20	5	136.8	24	AIS11E1	AIS11	NA
AGZ59E2L1	10	13	13.368	24	AGZ59E2	AGZ59	EHI02103
ABU61E1L1	10	20	0	24	ABU61E1	ABU61	NA
C1_EXB0005E1L1	10	21	0	27	C1_EXB0005E1	C1_EXB0005	NA
ABU30E2L1	10	19	15.84	24	ABU30E2	ABU30	NA
AFI83E1L1	20	3	200	17.4	AFI83E1	AFI83	EHI02349
AEY83E1L1	5	15	1.2912	24	AEY83E1	AEY83	EHI02528
ABD45E1L1	20	6	200	6.8	ABD45E1	ABD45	EHI00945
AIF57E1L1	20	5	200	15.4	AIF57E1	AIF57	EHI01135
AIH57E1L1	20	6	114.96	24	AIH57E1	AIH57	EHI01136
AIG13E1L1	20	6	200	17.9	AIG13E1	AIG13	EHI01137
NSAP27E1L1	10	13	37.8	27	NSAP27E1	NSAP27	EHI00034
