"index_id","index_batch","library_id","extraction_id","sample_id","library_input_dna","library_PCR_cycles_given","index_adaptors_molarity","index_library_molarity","index_volume","index_library_moles"
"AAX73E1L1I1","INB0002","AAX73E1L1","AAX73E1","AAX73",31,10,0.78,1.74,32,56
"AAH18E1L1I1","INB0002","AAH18E1L1","AAH18E1","AAH18",7.7,16,2.39,6.04,32,193
"AAX81E1L1I1","INB0002","AAX81E1L1","AAX81E1","AAX81",0,19,2.19,5.75,32,184
"AAH61E1L1I1","INB0002","AAH61E1L1","AAH61E1","AAH61",18.2,13,0.92,1.9,32,61
"AAX75E1L1I1","INB0002","AAX75E1L1","AAX75E1","AAX75",4.3,16,0.8,2.08,32,67
"C1_EXB0010E1L1I1","INB0002","C1_EXB0010E1L1","C1_EXB0010E1","C1_EXB0010",0,19,0.05,0.19,32,6
"AAX93E1L1I1","INB0002","AAX93E1L1","AAX93E1","AAX93",29.8,13,0.97,2.36,32,76
"I1","INB0002","","","",NA,19,0.2,0.92,32,29
"AAX76E1L1I1","INB0002","AAX76E1L1","AAX76E1","AAX76",1.3,16,1.96,1.52,32,48
"AAH27E1L1I1","INB0002","AAH27E1L1","AAH27E1","AAH27",42,16,3.97,8.72,32,279
"AAH19E1L1I1","INB0002","AAH19E1L1","AAH19E1","AAH19",1.6,19,1.67,4.88,32,156
"AAI03E1L1I1","INB0002","AAI03E1L1","AAI03E1","AAI03",34.8,16,6.5,14.4,32,461
"AAH52E1L1I1","INB0002","AAH52E1L1","AAH52E1","AAH52",11,16,4.64,11.9,32,381
"AAX83E1L1I1","INB0002","AAX83E1L1","AAX83E1","AAX83",0,19,0.22,0.47,32,15
"AAH51E1L1I1","INB0002","AAH51E1L1","AAH51E1","AAH51",9.6,19,3.18,6.49,32,208
"AAH32E1L1I1","INB0002","AAH32E1L1","AAH32E1","AAH32",8.4,16,7.34,13.8,32,442
"AAH60E1L1I1","INB0002","AAH60E1L1","AAH60E1","AAH60",16.8,13,2.66,6.42,32,205
"AAX97E1L1I1","INB0002","AAX97E1L1","AAX97E1","AAX97",7.2,13,1.06,2.63,32,84
"C2_EXB0010E1L1I1","INB0002","C2_EXB0010E1L1","C2_EXB0010E1","C2_EXB0010",0,19,0.03,0.14,32,4
"AAH33E1L1I1","INB0002","AAH33E1L1","AAH33E1","AAH33",65.5,13,0.78,2.28,32,73
"AAI04E1L1I1","INB0002","AAI04E1L1","AAI04E1","AAI04",23.9,13,1.01,2.81,32,90
"AAS27E1L1I1","INB0001","AAS27E1L1","AAS27E1","AAS27",3.2,19,15.79,11.57,32,370
"AAS35E1L1I1","INB0001","AAS35E1L1","AAS35E1","AAS35",223,8,0,6.15,32,197
"AAS36E1L1I1","INB0001","AAS36E1L1","AAS36E1","AAS36",20.6,14,1.01,11.21,32,359
"AAS39E1L1I1","INB0001","AAS39E1L1","AAS39E1","AAS39",400.2,11,1,28.31,32,906
"AAS37E1L1I1","INB0001","AAS37E1L1","AAS37E1","AAS37",4.7,16,2.69,6.88,32,220
"AAS42E1L1I1","INB0001","AAS42E1L1","AAS42E1","AAS42",9.3,18,3.3,8.78,32,281
"AAS19E1L1I1","INB0001","AAS19E1L1","AAS19E1","AAS19",22.7,12,0.41,9.92,32,318
"AAS17E1L1I1","INB0001","AAS17E1L1","AAS17E1","AAS17",84,14,0.62,15.9,32,509
"AAS41E1L1I1","INB0001","AAS41E1L1","AAS41E1","AAS41",4.1,16,4.01,9.19,32,294
"AAS20E1L1I1","INB0001","AAS20E1L1","AAS20E1","AAS20",13.3,14,1.15,10.94,32,350
"AAS18E1L1I1","INB0001","AAS18E1L1","AAS18E1","AAS18",4.2,20,10.01,20.93,32,670
"AAS23E1L1I1","INB0001","AAS23E1L1","AAS23E1","AAS23",400.8,8,0.16,3.38,32,108
"AAS32E1L1I1","INB0001","AAS32E1L1","AAS32E1","AAS32",40,10,0.28,10.85,32,347
"AAS29E1L1I1","INB0001","AAS29E1L1","AAS29E1","AAS29",4.6,16,0.9,7.59,32,243
"AAS30E1L1I1","INB0001","AAS30E1L1","AAS30E1","AAS30",18.2,12,2.07,24.98,32,799
"AAS31E1L1I1","INB0001","AAS31E1L1","AAS31E1","AAS31",2,10,0.1,0.47,32,15
"AAS24E1L1I1","INB0001","AAS24E1L1","AAS24E1","AAS24",400.1,12,4.52,18.21,32,583
"AAS22E1L1I1","INB0001","AAS22E1L1","AAS22E1","AAS22",14,12,4.22,21.12,32,676
"AAS21E1L1I1","INB0001","AAS21E1L1","AAS21E1","AAS21",0,10,1.47,0.31,32,10
"AAS38E1L1I1","INB0001","AAS38E1L1","AAS38E1","AAS38",3.5,18,9.12,19.67,32,629
"NSAP67E1L1I1","INB0001","NSAP67E1L1","NSAP67E1","NSAP67",91,12,0.4,22.12,32,708
"AAS10E1L1I1","INB0001","AAS10E1L1","AAS10E1","AAS10",46.4,12,0.63,23.88,32,764
"NSAP21E1L1I1","INB0001","NSAP21E1L1","NSAP21E1","NSAP21",8.4,16,5.81,30.87,32,988
"NSAP35E1L1I1","INB0001","NSAP35E1L1","NSAP35E1","NSAP35",15.3,16,1.83,22.77,32,729
"AAS08E1L1I1","INB0001","AAS08E1L1","AAS08E1","AAS08",209.8,12,0.04,15.97,32,511
"AAS12E1L1I1","INB0001","AAS12E1L1","AAS12E1","AAS12",99.1,12,0.72,18.62,32,596
"AAS04E1L1I1","INB0001","AAS04E1L1","AAS04E1","AAS04",20.2,14,0.65,13.71,32,439
"NSAP54E1L1I1","INB0001","NSAP54E1L1","NSAP54E1","NSAP54",240.3,10,0.68,17.55,32,561
"AAS11E1L1I1","INB0001","AAS11E1L1","AAS11E1","AAS11",6.6,18,7.03,24,32,768
"NSAP27E1L1I1","INB0001","NSAP27E1L1","NSAP27E1","NSAP27",37.8,14,0.24,23,32,736
"NSAP64E1L1I1","INB0001","NSAP64E1L1","NSAP64E1","NSAP64",99.1,12,0.48,26.1,32,835
"NSAP20E1L1I1","INB0001","NSAP20E1L1","NSAP20E1","NSAP20",7.9,16,2.93,19.5,32,624
"NSAP42E1L1I1","INB0001","NSAP42E1L1","NSAP42E1","NSAP42",9.8,14,0.78,32.6,32,1043
"NSAP33E1L1I1","INB0001","NSAP33E1L1","NSAP33E1","NSAP33",40.2,12,0.3,33,32,1056
"AAS07E1L1I1","INB0001","AAS07E1L1","AAS07E1","AAS07",160.1,10,0.64,29.9,32,957
"AAS03E1L1I1","INB0001","AAS03E1L1","AAS03E1","AAS03",63.2,14,0.52,23.1,32,739
"NSAP36E1L1I1","INB0001","NSAP36E1L1","NSAP36E1","NSAP36",35.6,14,0.65,17.8,32,570
"AAS09E1L1I1","INB0001","AAS09E1L1","AAS09E1","AAS09",54.3,14,0.89,16.5,32,528
"NSAP34E1L1I1","INB0001","NSAP34E1L1","NSAP34E1","NSAP34",190.4,12,0.81,7,32,224
"NSAP19E1L1I1","INB0001","NSAP19E1L1","NSAP19E1","NSAP19",7.8,18,2.84,17.9,32,573
"I1","INB0010","","","",NA,20,NA,0.01,20,0
"AAC07E1L1I1","INB0010","AAC07E1L1","AAC07E1","AAC07",2,14,NA,0.03,20,1
"AAB96E1L1I1","INB0010","AAB96E1L1","AAB96E1","AAB96",20,10,NA,0.08,20,2
"AAB84E1L1I1","INB0010","AAB84E1L1","AAB84E1","AAB84",49.4,8,NA,0.08,20,2
"AAB69E1L1I1","INB0010","AAB69E1L1","AAB69E1","AAB69",0,20,NA,0,20,0
"AAB64E1L1I1","INB0010","AAB64E1L1","AAB64E1","AAB64",9.1,12,NA,0.26,20,5
"AAC55E1L1I1","INB0010","AAC55E1L1","AAC55E1","AAC55",6.7,10,NA,0.07,20,1
"AAD09E1L1I1","INB0010","AAD09E1L1","AAD09E1","AAD09",0,20,NA,0.08,20,2
"AAC14E1L1I1","INB0010","AAC14E1L1","AAC14E1","AAC14",3.4,20,NA,0.51,20,10
"AAC09E1L1I1","INB0010","AAC09E1L1","AAC09E1","AAC09",32.4,8,NA,0.37,20,7
"AAC40E1L1I1","INB0010","AAC40E1L1","AAC40E1","AAC40",2.2,12,NA,0.05,20,1
"AAC21E1L1I1","INB0010","AAC21E1L1","AAC21E1","AAC21",0,20,NA,0.2,20,4
"AAC33E1L1I1","INB0010","AAC33E1L1","AAC33E1","AAC33",382.8,6,NA,0.63,20,13
"AAC26E1L1I1","INB0010","AAC26E1L1","AAC26E1","AAC26",0,16,NA,0.15,20,3
"AAC06E1L1I1","INB0010","AAC06E1L1","AAC06E1","AAC06",0,18,NA,0.11,20,2
"AAB78E1L1I1","INB0010","AAB78E1L1","AAB78E1","AAB78",1.7,20,NA,0.02,20,0
"AAC79E1L1I1","INB0010","AAC79E1L1","AAC79E1","AAC79",0,18,NA,0.1,20,2
"AAC15E1L1I1","INB0010","AAC15E1L1","AAC15E1","AAC15",1.7,20,NA,0,20,0
"AAC28E1L1I1","INB0010","AAC28E1L1","AAC28E1","AAC28",0,18,NA,0.12,20,2
"AAC36E1L1I1","INB0010","AAC36E1L1","AAC36E1","AAC36",3.1,14,NA,0.16,20,3
"AAW10E1L1I1","INB0010","AAW10E1L1","AAW10E1","AAW10",73.2,10,NA,0.35,20,7
"AAW16E1L1I1","INB0010","AAW16E1L1","AAW16E1","AAW16",389.3,8,NA,0.34,20,7
"C1_EXB0002E1L1I1","INB0010","C1_EXB0002E1L1","C1_EXB0002E1","C1_EXB0002",0,20,NA,0.09,20,2
"AAD12E1L1I1","INB0010","AAD12E1L1","AAD12E1","AAD12",2.8,14,NA,0.71,20,14
"AAC83E2L1I1","INB0010","AAC83E2L1","AAC83E2","AAC83",9.6,14,NA,0.75,20,15
"AD81E1L1I1","INB0010","AD81E1L1","AD81E1","AD81",12,14,NA,0.36,20,7
"AAD16E2L1I1","INB0010","AAD16E2L1","AAD16E2","AAD16",6,14,NA,NA,20,0
"AAC94E1L1I1","INB0010","AAC94E1L1","AAC94E1","AAC94",354,10,NA,NA,20,0
"AAD16E1L1I1","INB0010","AAD16E1L1","AAD16E1","AAD16",2.2,18,NA,NA,20,0
"AAC86E2L1I1","INB0010","AAC86E2L1","AAC86E2","AAC86",387.2,8,NA,NA,20,0
"AD74E2L1I1","INB0010","AD74E2L1","AD74E2","AD74",4.3,14,NA,NA,20,0
"AAC62E1L1I1","INB0010","AAC62E1L1","AAC62E1","AAC62",35.8,14,NA,NA,20,0
"AAD10E2L1I1","INB0010","AAD10E2L1","AAD10E2","AAD10",150,8,NA,NA,20,0
"AAB85E1L1I1","INB0010","AAB85E1L1","AAB85E1","AAB85",4.6,16,NA,NA,20,0
"AAC86E1L1I1","INB0010","AAC86E1L1","AAC86E1","AAC86",385,8,NA,NA,20,0
"AAD23E2L1I1","INB0010","AAD23E2L1","AAD23E2","AAD23",552,8,NA,NA,20,0
"AAC96E2L1I1","INB0010","AAC96E2L1","AAC96E2","AAC96",6,14,NA,NA,20,0
"AD85E1L1I1","INB0010","AD85E1L1","AD85E1","AD85",185.8,8,NA,NA,20,0
"AAD15E2L1I1","INB0010","AAD15E2L1","AAD15E2","AAD15",0,16,NA,NA,20,0
"AD89E1L1I1","INB0010","AD89E1L1","AD89E1","AD89",141.6,20,NA,NA,20,0
"AD89E2L1I1","INB0010","AD89E2L1","AD89E2","AD89",132,20,NA,NA,20,0
"AAD23E1L1I1","INB0010","AAD23E1L1","AAD23E1","AAD23",132,20,NA,NA,20,0
"AAD15E1L1I1","INB0010","AAD15E1L1","AAD15E1","AAD15",22.3,20,NA,NA,20,0
"AAC46E1L1I1","INB0010","AAC46E1L1","AAC46E1","AAC46",125.8,20,NA,NA,20,0
"C1_EXB0001E1L1I1","INB0010","C1_EXB0001E1L1","C1_EXB0001E1","C1_EXB0001",0,20,NA,NA,20,0
"AD84E2L1I1","INB0010","AD84E2L1","AD84E2","AD84",43.9,20,NA,NA,20,0
"AD85E2L1I1","INB0010","AD85E2L1","AD85E2","AD85",166.3,12,NA,NA,20,0
"AAC83E1L1I1","INB0010","AAC83E1L1","AAC83E1","AAC83",1.7,16,NA,NA,20,0
"AAC62E2L1I1","INB0010","AAC62E2L1","AAC62E2","AAC62",1.4,16,NA,NA,20,0
"AAC91E1L1I1","INB0010","AAC91E1L1","AAC91E1","AAC91",57.6,12,NA,NA,20,0
"AAC71E1L1I1","INB0010","AAC71E1L1","AAC71E1","AAC71",79.4,12,NA,NA,20,0
"AAD12E2L1I1","INB0010","AAD12E2L1","AAD12E2","AAD12",4.8,16,NA,NA,20,0
"AD84E1L1I1","INB0010","AD84E1L1","AD84E1","AD84",37.9,12,NA,NA,20,0
"AAC91E2L1I1","INB0010","AAC91E2L1","AAC91E2","AAC91",64.8,16,NA,NA,20,0
"AAD25E2L1I1","INB0010","AAD25E2L1","AAD25E2","AAD25",190.6,10,NA,NA,20,0
"AD79E1L1I1","INB0010","AD79E1L1","AD79E1","AD79",83.3,12,NA,NA,20,0
"AAB85E2L1I1","INB0010","AAB85E2L1","AAB85E2","AAB85",2.9,16,NA,NA,20,0
"AAC71E2L1I1","INB0010","AAC71E2L1","AAC71E2","AAC71",78,10,NA,NA,20,0
"AAC94E2L1I1","INB0010","AAC94E2L1","AAC94E2","AAC94",231.6,10,NA,NA,20,0
"AD79E2L1I1","INB0010","AD79E2L1","AD79E2","AD79",25.2,12,NA,NA,20,0
"AD74E1L1I1","INB0010","AD74E1L1","AD74E1","AD74",127.9,10,NA,NA,20,0
"AAD25E1L1I1","INB0010","AAD25E1L1","AAD25E1","AAD25",146.2,16,NA,NA,20,0
"AAC46E2L1I1","INB0010","AAC46E2L1","AAC46E2","AAC46",0,12,NA,NA,20,0
"AAD10E1L1I1","INB0010","AAD10E1L1","AAD10E1","AAD10",144.7,10,NA,NA,20,0
"AAC96E1L1I1","INB0010","AAC96E1L1","AAC96E1","AAC96",3.4,16,NA,NA,20,0
"AD81E2L1I1","INB0010","AD81E2L1","AD81E2","AD81",0,18,NA,NA,20,0
"C2_EXB0001E1L1I1","INB0010","C2_EXB0001E1L1","C2_EXB0001E1","C2_EXB0001",0,20,NA,NA,20,0
"ABJ89E1L1I1","INB0012","ABJ89E1L1","ABJ89E1","ABJ89",130.6,10,0,42.8,35,1498
"ABL39E1L1I1","INB0012","ABL39E1L1","ABL39E1","ABL39",138,10,0,44.91,35,1572
"AAW13E1L1I1","INB0012","AAW13E1L1","AAW13E1","AAW13",22.9,13,0,53.3,35,1866
"ABK12E1L1I1","INB0012","ABK12E1L1","ABK12E1","ABK12",72,13,0,37.43,35,1310
"ABL01E1L1I1","INB0012","ABL01E1L1","ABL01E1","ABL01",160.3,7,0,10.43,35,365
"ABL51E1L1I1","INB0012","ABL51E1L1","ABL51E1","ABL51",39.8,13,0,67.14,35,2350
"ABK18E1L1I1","INB0012","ABK18E1L1","ABK18E1","ABK18",189,10,0,26.84,35,939
"ABI40E1L1I1","INB0012","ABI40E1L1","ABI40E1","ABI40",192,10,0,37.54,35,1314
"ABL45E1L1I1","INB0012","ABL45E1L1","ABL45E1","ABL45",122.6,10,0,24.34,35,852
"AAW11E1L1I1","INB0012","AAW11E1L1","AAW11E1","AAW11",3.9,16,1.66,30.3,35,1061
"ABL19E1L1I1","INB0012","ABL19E1L1","ABL19E1","ABL19",14.8,13,0,26.36,35,923
"ABL37E1L1I1","INB0012","ABL37E1L1","ABL37E1","ABL37",87.1,13,0,42.19,35,1477
"ABK88E1L1I1","INB0012","ABK88E1L1","ABK88E1","ABK88",193.8,10,0,32.24,35,1128
"AAW31E1L1I1","INB0012","AAW31E1L1","AAW31E1","AAW31",5.8,16,0.75,50.62,35,1772
"AAW19E1L1I1","INB0012","AAW19E1L1","AAW19E1","AAW19",22.8,13,0,52.23,35,1828
"AAW20E1L1I1","INB0012","AAW20E1L1","AAW20E1","AAW20",2,16,0,16.47,35,576
"ABL25E1L1I1","INB0012","ABL25E1L1","ABL25E1","ABL25",12.3,13,0,19.1,35,669
"ABK90E1L1I1","INB0012","ABK90E1L1","ABK90E1","ABK90",190.3,10,0,21.79,35,762
"AAW12E1L1I1","INB0012","AAW12E1L1","AAW12E1","AAW12",17.4,13,0,35.19,35,1232
"ABK71E1L1I1","INB0012","ABK71E1L1","ABK71E1","ABK71",190.8,10,0,18.64,35,653
"ABI56E1L1I1","INB0012","ABI56E1L1","ABI56E1","ABI56",190.8,10,0,21.84,35,765
"AAW14E1L1I1","INB0012","AAW14E1L1","AAW14E1","AAW14",121,10,0,35.99,35,1260
"ABI58E1L1I1","INB0012","ABI58E1L1","ABI58E1","ABI58",153.6,10,0,23.23,35,813
"ABJ91E1L1I1","INB0012","ABJ91E1L1","ABJ91E1","ABJ91",195.3,10,0,27.54,35,964
"ABL92E1L1I1","INB0012","ABL92E1L1","ABL92E1","ABL92",37,13,0,33.67,35,1178
"AAW21E1L1I1","INB0012","AAW21E1L1","AAW21E1","AAW21",2.4,19,3.13,47.11,35,1649
"ABL86E1L1I1","INB0012","ABL86E1L1","ABL86E1","ABL86",188.9,10,0,14.55,35,509
"AAW26E1L1I1","INB0012","AAW26E1L1","AAW26E1","AAW26",5.6,16,0,27.93,35,978
"ABK46E1L1I1","INB0012","ABK46E1L1","ABK46E1","ABK46",4.1,16,0.49,12.47,35,437
"ABJ51E1L1I1","INB0012","ABJ51E1L1","ABJ51E1","ABJ51",193.6,10,0,21.08,35,738
"AAW15E1L1I1","INB0012","AAW15E1L1","AAW15E1","AAW15",18.5,16,0,23.7,35,830
"ABK86E1L1I1","INB0012","ABK86E1L1","ABK86E1","ABK86",143.8,10,0,45.53,35,1593
"ABK73E1L1I1","INB0012","ABK73E1L1","ABK73E1","ABK73",24,13,0,25.44,35,890
"ABL98E1L1I1","INB0012","ABL98E1L1","ABL98E1","ABL98",3.9,16,0,20.35,35,712
"ABJ75E1L1I1","INB0012","ABJ75E1L1","ABJ75E1","ABJ75",167,7,0,5.92,35,207
"ABL31E1L1I1","INB0012","ABL31E1L1","ABL31E1","ABL31",191.9,7,0,8.61,35,301
"ABK67E1L1I1","INB0012","ABK67E1L1","ABK67E1","ABK67",190.5,10,0,33.37,35,1168
"ABM11E1L1I1","INB0012","ABM11E1L1","ABM11E1","ABM11",0,19,3.75,34.56,35,1210
"ABL02E1L1I1","INB0012","ABL02E1L1","ABL02E1","ABL02",193.8,10,0,29.4,35,1029
"ABL27E1L1I1","INB0012","ABL27E1L1","ABL27E1","ABL27",13,13,0,17.99,35,629
"AAW18E1L1I1","INB0012","AAW18E1L1","AAW18E1","AAW18",22.2,13,0,29.63,35,1037
"ABJ73E1L1I1","INB0012","ABJ73E1L1","ABJ73E1","ABJ73",55.7,13,0,79.15,35,2770
"ABK03E1L1I1","INB0012","ABK03E1L1","ABK03E1","ABK03",16,16,0,16.16,35,566
"ABK20E1L1I1","INB0012","ABK20E1L1","ABK20E1","ABK20",184.8,10,0,26.98,35,944
"ABK61E1L1I1","INB0012","ABK61E1L1","ABK61E1","ABK61",193.2,10,0,36.4,35,1274
"ABL29E1L1I1","INB0012","ABL29E1L1","ABL29E1","ABL29",133.4,10,0,42.11,35,1474
"ABL03E1L1I1","INB0012","ABL03E1L1","ABL03E1","ABL03",84,13,0,41.07,35,1437
"ABK44E1L1I1","INB0012","ABK44E1L1","ABK44E1","ABK44",182.2,10,0,26.78,35,937
"ABK69E1L1I1","INB0012","ABK69E1L1","ABK69E1","ABK69",145.9,13,0,68.7,35,2405
"ABL57E1L1I1","INB0012","ABL57E1L1","ABL57E1","ABL57",169.4,10,0,34.7,35,1215
"ABK59E1L1I1","INB0012","ABK59E1L1","ABK59E1","ABK59",200,10,0,40.35,35,1412
"ABK16E1L1I1","INB0012","ABK16E1L1","ABK16E1","ABK16",197.6,10,0,22.24,35,778
"ABL53E1L1I1","INB0012","ABL53E1L1","ABL53E1","ABL53",142.1,10,0,35.46,35,1241
"ABI42E1L1I1","INB0012","ABI42E1L1","ABI42E1","ABI42",188.4,10,0,40.26,35,1409
"AAW27E1L1I1","INB0012","AAW27E1L1","AAW27E1","AAW27",25.2,16,0.34,11.8,35,413
"C1_EXB0003E1L1I1","INB0012","C1_EXB0003E1L1","C1_EXB0003E1","C1_EXB0003",0,19,14.38,0.64,35,23
"ABI44E1L1I1","INB0012","ABI44E1L1","ABI44E1","ABI44",50.6,13,0,54.85,35,1920
"ABJ59E1L1I1","INB0012","ABJ59E1L1","ABJ59E1","ABJ59",75.8,13,0,42.09,35,1473
"ABK55E1L1I1","INB0012","ABK55E1L1","ABK55E1","ABK55",145,10,0,25.53,35,893
"AAW23E1L1I1","INB0012","AAW23E1L1","AAW23E1","AAW23",79.2,10,0,24.83,35,869
"ABL76E1L1I1","INB0012","ABL76E1L1","ABL76E1","ABL76",193.8,10,0,36,35,1260
"ABL33E1L1I1","INB0012","ABL33E1L1","ABL33E1","ABL33",198,10,0,15.29,35,535
"ABJ53E1L1I1","INB0012","ABJ53E1L1","ABJ53E1","ABJ53",189,10,0,15.51,35,543
"ABK96E1L1I1","INB0012","ABK96E1L1","ABK96E1","ABK96",74.4,10,0,14.49,35,507
"AAW17E1L1I1","INB0012","AAW17E1L1","AAW17E1","AAW17",14,16,0.2,11.56,35,405
"ABL64E1L1I1","INB0012","ABL64E1L1","ABL64E1","ABL64",19.6,13,0,27.79,35,973
"ABJ55E1L1I1","INB0012","ABJ55E1L1","ABJ55E1","ABJ55",189.1,10,0,47.69,35,1669
"AAW22E1L1I1","INB0012","AAW22E1L1","AAW22E1","AAW22",71.3,13,0,35.4,35,1239
"AAW32E1L1I1","INB0012","AAW32E1L1","AAW32E1","AAW32",8,16,0,26.28,35,920
"ABK41E1L1I1","INB0012","ABK41E1L1","ABK41E1","ABK41",127.7,10,0,18.08,35,633
"ABK48E1L1I1","INB0012","ABK48E1L1","ABK48E1","ABK48",118.6,10,0,12.58,35,440
"ABJ83E1L1I1","INB0012","ABJ83E1L1","ABJ83E1","ABJ83",192.6,10,0,12.47,35,436
"ABK09E1L1I1","INB0012","ABK09E1L1","ABK09E1","ABK09",211.1,8,0,18.18,35,636
"ABI46E1L1I1","INB0012","ABI46E1L1","ABI46E1","ABI46",399,10,0,31.14,35,1090
"ABI47E1L1I1","INB0012","ABI47E1L1","ABI47E1","ABI47",248.9,8,0,27.35,35,957
"ABK09E2L1I1","INB0012","ABK09E2L1","ABK09E2","ABK09",211.1,8,0,10.94,35,383
"C1_EXB0006E1L1I1","INB0012","C1_EXB0006E1L1","C1_EXB0006E1","C1_EXB0006",0,18,3.84,0.2,35,7
"ABK57E1L1I1","INB0012","ABK57E1L1","ABK57E1","ABK57",386.4,8,0,10.09,35,353
"ABI47E2L1I1","INB0012","ABI47E2L1","ABI47E2","ABI47",248.9,12,0,0.75,35,26
"AAC33E2L1I1","INB0013","AAC33E2L1","AAC33E2","AAC33",183.4,10,0,33.45,35,1171
"AAB69E2L1I1","INB0013","AAB69E2L1","AAB69E2","AAB69",0,16,0.4,1.31,35,46
"ABB05E1L1I1","INB0013","ABB05E1L1","ABB05E1","ABB05",198,13,0,2.94,35,103
"AAC06E2L1I1","INB0013","AAC06E2L1","AAC06E2","AAC06",4,13,0.14,2.94,35,103
"ABB26E1L1I1","INB0013","ABB26E1L1","ABB26E1","ABB26",176.4,10,0,3.57,35,125
"AAW10E2L1I1","INB0013","AAW10E2L1","AAW10E2","AAW10",96.7,13,0,13.93,35,488
"AAB84E2L1I1","INB0013","AAB84E2L1","AAB84E2","AAB84",57.6,10,0,0.53,35,19
"AAC07E2L1I1","INB0013","AAC07E2L1","AAC07E2","AAC07",0,16,0.93,0.7,35,25
"AAS05E2L1I1","INB0013","AAS05E2L1","AAS05E2","AAS05",13.4,13,0,4.05,35,142
"AAS14E2L1I1","INB0013","AAS14E2L1","AAS14E2","AAS14",13.2,13,0,4.73,35,166
"ABB24E1L1I1","INB0013","ABB24E1L1","ABB24E1","ABB24",186.3,7,0,7.08,35,248
"AAS15E2L1I1","INB0013","AAS15E2L1","AAS15E2","AAS15",4.6,10,0,1.91,35,67
"AAB74E2L1I1","INB0013","AAB74E2L1","AAB74E2","AAB74",0,19,1.38,0.27,35,9
"AAV39E1L1I1","INB0013","AAV39E1L1","AAV39E1","AAV39",196.1,7,0,5.45,35,191
"AAC28E2L1I1","INB0013","AAC28E2L1","AAC28E2","AAC28",2.9,13,0,1.68,35,59
"AAC36E2L1I1","INB0013","AAC36E2L1","AAC36E2","AAC36",4.6,13,0,1.35,35,47
"AAC40E2L1I1","INB0013","AAC40E2L1","AAC40E2","AAC40",8.6,19,3.69,5.1,35,179
"AAC26E2L1I1","INB0013","AAC26E2L1","AAC26E2","AAC26",1.7,13,0.2,2.9,35,102
"AAU89E1L1I1","INB0013","AAU89E1L1","AAU89E1","AAU89",200,7,0,5.82,35,204
"AAC09E2L1I1","INB0013","AAC09E2L1","AAC09E2","AAC09",99.1,7,0,3.96,35,139
"AAC55E2L1I1","INB0013","AAC55E2L1","AAC55E2","AAC55",7,10,0,0.97,35,34
"AAV40E1L1I1","INB0013","AAV40E1L1","AAV40E1","AAV40",180.5,7,NA,8.61,35,301
"AAB64E2L1I1","INB0013","AAB64E2L1","AAB64E2","AAB64",0,19,4.23,11.11,35,389
"AAC15E2L1I1","INB0013","AAC15E2L1","AAC15E2","AAC15",0,19,4.78,1.58,35,55
"AAC79E2L1I1","INB0013","AAC79E2L1","AAC79E2","AAC79",1.7,16,0,5.97,35,209
"AAW16E2L1I1","INB0013","AAW16E2L1","AAW16E2","AAW16",179.9,10,0,3.2,35,112
"AAS06E2L1I1","INB0013","AAS06E2L1","AAS06E2","AAS06",20.6,10,0,3.03,35,106
"ABB03E1L1I1","INB0013","ABB03E1L1","ABB03E1","ABB03",27.8,10,0,4.52,35,158
"AAS13E2L1I1","INB0013","AAS13E2L1","AAS13E2","AAS13",15.8,10,0,1.81,35,63
"AAU91E1L1I1","INB0013","AAU91E1L1","AAU91E1","AAU91",191.4,7,0,7.51,35,263
"AAS16E2L1I1","INB0013","AAS16E2L1","AAS16E2","AAS16",36.5,7,0,3.14,35,110
"AAC21E2L1I1","INB0013","AAC21E2L1","AAC21E2","AAC21",3.8,13,0,3.33,35,117
"AAS01E2L1I1","INB0013","AAS01E2L1","AAS01E2","AAS01",9.4,10,0,2.09,35,73
"AAC14E2L1I1","INB0013","AAC14E2L1","AAC14E2","AAC14",0,19,0.37,1.77,35,62
"AAB78E2L1I1","INB0013","AAB78E2L1","AAB78E2","AAB78",0,19,0.61,1.77,35,62
"ABI47E2L2I1","INB0013","ABI47E2L2","ABI47E2","ABI47",194.4,7,0,10.59,35,371
"ABJ79E1L2I1","INB0013","ABJ79E1L2","ABJ79E1","ABJ79",198,13,0,6.07,35,212
"ABJ49E1L2I1","INB0013","ABJ49E1L2","ABJ49E1","ABJ49",199.2,7,0,1.89,35,66
"ABI38E1L2I1","INB0013","ABI38E1L2","ABI38E1","ABI38",190.5,7,0,4.04,35,141
"ABL72E1L2I1","INB0013","ABL72E1L2","ABL72E1","ABL72",198,7,0,3.77,35,132
"ABK05E1L2I1","INB0013","ABK05E1L2","ABK05E1","ABK05",132.7,10,0,14.47,35,506
"ABJ71E1L2I1","INB0013","ABJ71E1L2","ABJ71E1","ABJ71",71.3,7,0,10.03,35,351
"ABJ45E1L2I1","INB0013","ABJ45E1L2","ABJ45E1","ABJ45",185.9,7,0,2.85,35,100
"OPAU2E1L1I1","INB0013","OPAU2E1L1","OPAU2E1","OPAU2",5.7,10,0,4.36,35,153
"OPAU4E1L1I1","INB0013","OPAU4E1L1","OPAU4E1","OPAU4",3.7,10,0,0.64,35,22
"OPAU6E1L1I1","INB0013","OPAU6E1L1","OPAU6E1","OPAU6",14.2,10,0,0.53,35,19
"OPAU8E1L1I1","INB0013","OPAU8E1L1","OPAU8E1","OPAU8",9.5,10,0,2.39,35,84
