mapping_percentage	sequence_id	mapping_id
1.03306	EHI01133	DM01130
NA	NA	DM02112
40.01603	EHI00912	DM01049
1.0813	EHI00847	DM02167
82.54234	EHI00400	DM00508
59.68306	EHI01377	DM02115
72.31723	EHI01441	DM03683
NA	EHI01218	DM01454
15.13878	EHI00599	DM01612
NA	NA	DM00290
33.38787	EHI00695	DM00182
3.91754	EHI00923	DM01571
1.38618	EHI01405	DM03666
66.96267	EHI01441	DM01821
0.85089	EHI01131	DM02309
49.93643	EHI01598	DM02600
83.21545	EHI01081	DM01361
7.4396	EHI00597	DM01562
0	EHI00065	DM02255
36.56895	EHI00463	DM00509
0.08541	EHI00311	DM02362
0.04355	EHI00575	DM01543
32.03963	EHI00201	DM01641
0.3938	EHI00083	DM00026
0.11233	EHI00613	DM01661
74.97426	EHI00481	DM00660
75.56415	EHI00250	DM03460
75.50343	EHI00072	DM00763
77.49241	EHI00077	DM02732
16.91946	EHI02542	DM03591
78.60741	EHI02635	DM03687
54.08312	EHI02621	DM03695
8.2e-4	EHI00060	DM02237
87.19101	EHI00587	DM01625
29.23839	EHI00014	DM00989
56.73908	EHI00831	DM02668
82.88527	EHI02616	DM03713
77.24725	EHI00541	DM00678
83.6031	EHI01554	DM01884
48.94046	EHI00361	DM01038
0.01254	EHI02099	DM03000
83.20773	EHI00385	DM01948
51.87345	EHI02101	DM03023
2.37238	EHI01148	DM01133
44.47789	EHI00984	DM02214
1.06361	EHI02532	DM03641
NA	NA	DM00294
35.10178	EHI00028	DM00941
49.98385	EHI01608	DM02378
NA	NA	DM00409
46.61213	EHI01174	DM00730
2.19744	EHI00264	DM03384
8.72499	EHI00040	DM00924
74.08573	EHI02023	DM03164
39.43664	EHI01263	DM01512
77.21933	EHI01994	DM02962
57.08279	EHI02114	DM03102
75.28846	EHI01049	DM02501
80.10989	EHI01047	DM00980
10.78544	EHI02546	DM03586
20.84212	EHI00357	DM01610
1.19824	EHI02694	DM03803
57.46273	EHI01697	DM02731
3.12209	EHI02115	DM02996
80.79828	EHI01513	DM01985
3.62593	EHI02426	DM03410
9.25401	EHI01186	DM02866
2.69262	EHI00803	DM02640
87.73887	EHI01310	DM01340
32.25298	EHI00030	DM00942
2.69262	EHI00803	DM02527
7.41739	EHI00281	DM03464
58.98194	EHI00856	DM02454
52.28226	EHI00727	DM01709
76.99057	EHI02367	DM03430
72.49522	EHI00454	DM00459
84.14248	EHI01054	DM01360
11.36032	EHI00612	DM01061
79.47783	EHI01325	DM01335
2.36361	EHI01189	DM02877
0.12062	EHI01189	DM00849
0	EHI00054	DM02228
1.78254	EHI00223	DM02431
3.04815	EHI01622	DM03701
58.31722	EHI02068	DM03095
83.99486	EHI01320	DM01321
3.45585	EHI00172	DM01022
75.9208	EHI00392	DM01236
3.77008	EHI01652	DM02857
51.65602	EHI01185	DM02891
77.21669	EHI00375	DM02045
6.55791	EHI01375	DM03629
32.26685	EHI00832	DM02447
84.85883	EHI01515	DM02076
56.02271	EHI02077	DM03004
34.15208	EHI00982	DM01531
64.66759	EHI02072	DM03077
0.50411	EHI00077	DM00444
84.80197	EHI01316	DM01440
1.2873000000000001	EHI02142	DM03658
NA	NA	DM00428
80.47123	EHI00381	DM01877
9.45009	EHI02558	DM03587
89.94661	EHI00460	DM00493
33.13684	EHI00025	DM00132
71.32751	EHI00700	DM01683
89.17744	EHI01294	DM01451
16.60061	EHI02563	DM03575
3.60354	EHI01124	DM00838
0.82539	EHI01141	DM00893
63.24793	EHI02094	DM03104
19.32636	EHI02433	DM03510
8.98351	EHI02553	DM03589
56.53813	EHI01022	DM02722
56.10896	EHI02116	DM03116
0.09684	EHI00604	DM01624
70.21596	EHI01378	DM01742
0.47647	EHI01192	DM00896
0.04026	EHI00326	DM02366
83.7133	EHI01074	DM01370
43.12561	EHI00508	DM00574
19.80273	EHI00009	DM01028
74.09879	EHI00158	DM00566
66.87797	EHI01640	DM01848
86.72602	EHI01476	DM03227
NA	NA	DM00372
70.12266	EHI00081	DM02827
0.05145	EHI00664	DM02352
87.74312	EHI01331	DM01339
63.29077	EHI02073	DM03108
83.49656	EHI00181	DM02759
74.44644	EHI00743	DM01692
46.61213	EHI01174	DM00722
48.83754	EHI00838	DM02556
NA	EHI01388	DM01468
65.52355	EHI02086	DM03563
38.55773	EHI01361	DM02177
11.41055	EHI01511	DM02074
82.93461	EHI00410	DM01915
NA	NA	DM00364
0.52636	EHI00079	DM00445
55.36645	EHI02597	DM03734
12.37459	EHI01117	DM01153
22.91013	EHI01379	DM03642
79.11959	EHI01075	DM01110
83.60037	EHI02019	DM03299
16.06049	EHI01702	DM03597
52.53768	EHI00851	DM02455
NA	NA	DM00390
0.57357	EHI01151	DM01203
50.54701	EHI02082	DM03105
80.83151	EHI00685	DM00628
82.57874	EHI00404	DM03274
78.92803	EHI01056	DM00978
27.33462	EHI00475	DM01080
2.22208	EHI02591	DM03727
2.10499	EHI01221	DM01206
86.72195	EHI00627	DM01095
73.02634	EHI01518	DM02054
74.88238	EHI02618	DM03722
64.13592	EHI02102	DM03030
92.63774	EHI00533	DM00568
2.29995	EHI00660	DM01604
40.33788	EHI01620	DM01839
81.27788	EHI00850	DM02650
9.17939	EHI02534	DM03632
80.35947	EHI00377	DM02035
10.0227	EHI01394	DM02185
70.61319	EHI00375	DM00540
79.27045	EHI02126	DM03003
0.03948	EHI00077	DM00101
2.08289	EHI01194	DM01184
72.03506	EHI01530	DM02046
58.3076	EHI02079	DM03016
84.48713	EHI00095	DM02795
39.73863	EHI01172	DM00732
22.5714	EHI00696	DM00184
65.0494	EHI01361	DM02211
76.40481	EHI00385	DM00587
69.14496	EHI01063	DM01104
56.73167	EHI01391	DM02184
62.1473	EHI01253	DM01488
2.79986	EHI00147	DM02240
2.97782	EHI01626	DM03671
35.2019	EHI00932	DM02368
11.91351	EHI02473	DM03535
6.03038	EHI00234	DM03370
NA	EHI00079	DM00010
78.7762	EHI01085	DM01106
16.56723	EHI00938	DM02402
60.45328	EHI01435	DM02267
54.65583	EHI01199	DM03508
69.74098	EHI00105	DM00799
NA	NA	DM00283
23.18117	EHI00758	DM00183
87.85863	EHI01281	DM01447
NA	NA	DM00331
79.55161	EHI00235	DM02554
4.41938	EHI00802	DM02396
24.90127	EHI01207	DM03497
29.38309	EHI00008	DM01006
0.12062	EHI01189	DM01200
20.74808	EHI01449	DM01805
9.5945	EHI01147	DM00890
37.68247	EHI00367	DM00487
72.38101	EHI02044	DM03042
77.93214	EHI00406	DM01277
NA	NA	DM00253
16.98801	EHI00442	DM01616
3.05517	EHI01120	DM01165
66.29983	EHI01559	DM03228
75.29658	EHI00552	DM01241
28.46313	EHI00638	DM02710
73.46836	EHI00807	DM02419
14.37272	EHI00166	DM00137
37.58054	EHI00950	DM02377
NA	NA	DM00317
59.40762	EHI02081	DM03009
36.58353	EHI00487	DM00539
77.38965	EHI01060	DM02500
20.93478	EHI01546	DM01768
76.29903	EHI00852	DM02667
79.60834	EHI01078	DM01100
59.05429	EHI01086	DM02513
0.0734	EHI00977	DM01394
NA	EHI01371	DM01456
73.97441	EHI02640	DM03766
71.25461	EHI01963	DM02966
52.96351	EHI00735	DM02130
27.412960000000002	EHI02383	DM03424
75.74766	EHI00681	DM01682
8.80908	EHI00596	DM01588
25.53264	EHI00101	DM00824
80.23573	EHI00972	DM00498
16.56723	EHI00938	DM02404
3.42984	EHI01446	DM01827
49.99107	EHI01176	DM00718
