sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Blood	Animal	< 10 minutes	< 1 day	ABG56	NA	59	550	SD00685	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	small forest patch on Duke university campus	Adult	Male	36	-78.94	recTM9xQvYOxMLTyY	Rodentia	Mammalia	SD0068501	Mammals
Anal/cloacal swab	Animal	< 10 minutes	< 3 days	ABT89	NA	57	5.8	SD01330	Phrynosomatidae	Sceloporus variabilis	1001803 - Tropical forest	NA	Adult	Male	21.25	-98.8	recwKhnfLZNKSTGMp	Squamata	Reptilia	SD0133001	Reptiles
Tissue	Animal	< 1 minute	< 14 days	AA64	NA	262	542	SD02119	Sciuridae	Sciurus carolinensis	1000196 - Coniferous forest	NA	Adult	Female	53.07	-3.55	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0211901	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAA24	Valfurva	NA	365	SD00339	Sciuridae	Sciurus vulgaris	1000196 - Coniferous forest	Pinus cembra; Picea Abies; Larix decidua	Nursing	Female	46.43	10.45	recrACkHppgdXdQse	Rodentia	Mammalia	SD0033901	Mammals
Tissue	Animal	< 1 minute	< 1 day	AHU72	NA	131	4.3	SD03543	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0354301	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AIV74	NA	NA	80	SD03500	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.77	19.16	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0350001	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAQ12	NA	NA	2.02	SD03419	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.06	-2.4	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0341901	Amphibians
Blood	Animal	< 1 minute	< 1 day	AAY79	Montpellier	75	20.5	SD00079	Sylviidae	Sylvia atricapilla	1000248 - Dense settlement	Field experiments on CNRS campus, north of the city of Montpellier	Adult	Male	43.64	3.86	recD0072mQhXdzBoy	Passeriformes	Aves	SD0007901	Birds
Tissue	Animal	< 1 minute	< 1 day	ADZ88	NA	146.94	4.21	SD00986	Lacertidae	Podarcis muralis	1000194 - Montane grassland	near construction	Adult	Male	42.8	-0.53	recD0072mQhXdzBoy	Squamata	Reptilia	SD0098601	Reptiles
Tissue	Animal	< 1 minute	< 14 days	AHB14	NA	62	6.11	SD04286	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet	Adult	Male	34.94	26.14	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0428601	Reptiles
Faecal	Animal	< 1 minute	< 1 day	AHV79	NA	111	2.8	SD03579	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Female	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0357901	Reptiles
Faecal	Animal	< 1 minute	< 1 day	AGF18	NA	NA	18	SD02400	Gliridae	Muscardinus avellanarius	1001805 - Temperate forest	public forest	Sub-adult	Female	49.94	1.42	recD0072mQhXdzBoy	Rodentia	Mammalia	SD0240001	Mammals
Tissue	Animal	< 10 minutes	< 7 days	ACC14	NA	41.1	9.2	SD00502	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Pine Forest (Pinus sylvestris)	Nursing	Female	40.86	-4.03	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0050201	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACG23	Pineta	58.5	335	SD00303	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Nursing	Female	45.76	8.9	recrACkHppgdXdQse	Rodentia	Mammalia	SD0030302	Mammals
Faecal	Other	< 10 minutes	< 7 days	AAW15	La meteo	56	150	SD00178	Psittaculidae	Psittacula echo	1001803 - Tropical forest	Forest	Juvenile	Unknown	-20.4	57.46	recxJddnYy3ExEL7a	Psittaciformes	Aves	SD0017801	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACD77	NA	59	12.4	SD02452	Thamnophilidae	Hypocnemoides maculicauda	1000252 - Lake or pond	Oxbow lake	NA	Male	-12.05	-71.19	recBG9JQuOqHyhhMQ	Passeriformes	Aves	SD0245201	Birds
Faecal	Animal	< 1 minute	< 1 day	AFL50	NA	49	2.65	SD04398	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Stone walls and ground crevices around mediterranean forest and private houses	Adult	Male	39.13	-0.37	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0439801	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABA54	Golasecca	57	280	SD00298	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	oak-hornbeam-chestnut forest	Adult	Male	45.69	8.66	recrACkHppgdXdQse	Rodentia	Mammalia	SD0029803	Mammals
Tissue	Animal	< 1 minute	< 1 day	AFL72	NA	50	2.78	SD04397	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Stone walls and ground crevices around mediterranean forest and private houses	Adult	Male	39.13	-0.37	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0439701	Reptiles
Faecal	Animal	< 1 minute	< 1 day	AHU97	NA	300	6.7	SD03555	Colubridae	Natrix astreptophora	1000199 - Mediterranean forest	NA	Juvenile	Unknown	40.87	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0355501	Reptiles
Oral swab	Animal	< 1 minute	< 1 day	AIV67	NA	NA	78	SD03498	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.77	19.18	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0349801	Birds
Tissue	Animal	< 1 minute	< 1 day	AFQ12	NA	20.6	7.1	SD02553	Lacertidae	Timon lepidus	1000199 - Mediterranean forest	NA	Juvenile	Unknown	40.86	-8.25	recAf61NgigHFbcBU	Squamata	Reptilia	SD0255301	Reptiles
Oral swab	Animal	< 1 minute	< 3 days	ABS95	NA	63	310	SD01536	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Conifer forests 	Adult	Female	42.74	143.09	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0153601	Mammals
Faecal	Ground	< 30 minutes	< 14 days	AGC99	NA	NA	NA	SD03140	Canidae	Canis familiaris	1001625 - Polar Tundra	military station	Adult	Male	74.18	-20.22	recLVY3Rb8dPMd92q	Carnivora	Mammalia	SD0314001	Mammals
Faecal	Housing	< 10 minutes	< 1 day	AGI34	NA	NA	NA	SD03674	Furnariidae	Cinclodes albidiventris	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.89	-79.32	recObZmxBDlCLf6We	Passeriformes	Aves	SD0367401	Birds
Faecal	Trap	< 3 hours	< 1 day	ABA42	Piobesi	59	440	SD00375	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	oak-hornbeam forest	Adult	Male	44.94	7.59	recrACkHppgdXdQse	Rodentia	Mammalia	SD0037501	Mammals
Skin swab	Animal	< 1 minute	< 1 day	AIY93	NA	100	19.8	SD04426	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Narrow stone alley with deciduous leaf litter along the edges.	Adult	Male	41.15	-8.63	recAf61NgigHFbcBU	Urodela	Amphibia	SD0442601	Amphibians
Faecal	Housing	< 30 minutes	< 3 days	AFF13	NA	19.2	11.3	SD04148	Tyrannidae	Empidonax flavescens	1000197 - Broadleaf forest	ecotone with presence of oak and pine species	Adult	Unknown	15.16	-87.57	recQgqRtcmwo7Cea8	Passeriformes	Aves	SD0414801	Birds
Faecal	Trap	< 3 hours	< 1 day	AEL37	Varese	60	370	SD01783	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Female	45.8	8.85	recrACkHppgdXdQse	Rodentia	Mammalia	SD0178301	Mammals
Tissue	Animal	< 1 minute	< 21 days	AHO91	NA	43.02	6.4	SD03353	Bombinatoridae	Bombina sp.	1000198 - Mixed forest	Puddle	Adult	Female	47.99	19.97	recswsHtDSgulNghS	Anura	Amphibia	SD0335301	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AEL94	Calusco	60	330	SD01789	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	riparian woodland	Adult	Female	45.68	9.46	recrACkHppgdXdQse	Rodentia	Mammalia	SD0178901	Mammals
Faecal	Trap	< 6 hours	< 1 day	ACS06	NA	NA	9600	SD02864	Macropodidae	Petrogale xanthopus	1000218 - Xeric shrubland	Gorge	Adult	Male	-30.56	139.16	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0286401	Mammals
Tissue	Animal	< 1 minute	< 1 day	ADA01	NA	NA	NA	SD01416	Vespertilionidae	Plecotus auritus	1000198 - Mixed forest	NA	Adult	Female	52	13	recVYUv3aeAtg7Vdd	Chiroptera	Mammalia	SD0141601	Bats
Faecal	Trap	< 3 hours	< 1 day	ABB17	RS	60	440	SD00379	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	44.95	7.6	recrACkHppgdXdQse	Rodentia	Mammalia	SD0037901	Mammals
Faecal	Housing	< 10 minutes	< 7 days	AFH69	NA	21.06	13.03	SD04126	Parulidae	Helmitheros vermivorum	1000197 - Broadleaf forest	In front of a stream	Adult	Unknown	15.2	-87.59	recQgqRtcmwo7Cea8	Passeriformes	Aves	SD0412601	Birds
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABZ48	NA	67	660	SD01864	Sciuridae	Sciurus carolinensis	1000248 - Dense settlement	Residential neighbourhood	Nursing	Female	51.07	-114.14	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0186401	Mammals
Oral swab	Animal	< 1 minute	< 14 days	AA57	NA	258	592	SD02122	Sciuridae	Sciurus carolinensis	1000197 - Broadleaf forest	NA	Adult	Male	53.2	-4.19	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0212201	Mammals
Faecal	Animal	< 10 minutes	< 1 day	AGY67	NA	NA	48.1	SD03227	Corvidae	Perisoreus infaustus	1000250 - Boreal forests or taiga	Forest	Juvenile	Unknown	65.68	19.15	recsoxFuQT1UqV2yf	Passeriformes	Aves	SD0322701	Birds
Faecal	Housing	NA	< 3 days	AIQ90	NA	NA	NA	SD04215	Leporidae	Lepus europaeus	1000247 - Rangeland	NA	Juvenile	Unknown	42.9	-2.16	recIUTmSxiyqoU5lQ	Lagomorpha	Mammalia	SD0421502	Mammals
Tissue	Animal	< 1 minute	< 1 day	AHU20	NA	122	NA	SD03517	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0351701	Reptiles
Tissue	Animal	< 10 minutes	< 3 days	OPAU65	NA	NA	NA	SD00741	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Woodland	Adult	Female	51.76	-2.68	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0074101	Bats
Tissue	Animal	< 1 minute	< 21 days	ABL93	NA	64	6.03	SD00535	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Village	Adult	Male	42.48	0.71	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0053501	Reptiles
Tissue	Animal	< 1 minute	< 1 day	AEL23	Varese	58	325	SD01777	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Female	45.83	8.83	recrACkHppgdXdQse	Rodentia	Mammalia	SD0177701	Mammals
Tissue	Animal	< 1 minute	< 14 days	ABI61	NA	55	3.1	SD00657	Lacertidae	Podarcis muralis	1000221 - Temperate woodland	Boulders and rocky slopes	Unknown	Female	42.79	-0.6	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0065701	Reptiles
Faecal	Other	< 3 hours	< 1 day	AGO89	NA	NA	1.31	SD04528	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.26	-2.15	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0452801	Amphibians
Faecal	Animal	< 1 minute	< 1 day	ADJ94	Tourmalet	142.76	3.57	SD00886	Lacertidae	Podarcis muralis	1000194 - Montane grassland	near a dam	Adult	Female	42.92	0.19	recD0072mQhXdzBoy	Squamata	Reptilia	SD0088601	Reptiles
Oral swab	Animal	< 1 minute	< 1 day	AAL90	NA	15	22	SD01556	Soricidae	Blarina brevicauda	1000221 - Temperate woodland	Urban Woodlot	Adult	Female	40.6	-76.09	recTM9xQvYOxMLTyY	Eulipotyphla	Mammalia	SD0155601	Mammals
Faecal	Animal	< 1 minute	< 21 days	ABM01	NA	50	2.07	SD00527	Lacertidae	Podarcis liolepis	1000221 - Temperate woodland	Village	Pregnant	Female	42.48	0.71	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0052701	Reptiles
Tissue	Animal	< 1 minute	< 14 days	AHC17	NA	63	6.03	SD04310	Lacertidae	Podarcis gaigeae	1000215 - Temperate shrubland	town	Adult	Male	38.84	24.54	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0431001	Reptiles
Faecal	Ground	< 6 hours	< 7 days	AHF17	NA	NA	NA	SD04709	Vombatidae	Vombatus ursinus	1000193 - Temperate grassland	In open grassland	Unknown	Unknown	-42.35	148.03	recKtBknH3LqSreF0	Diprotodontia	Mammalia	SD0470901	Mammals
Faecal	Housing	< 10 minutes	< 7 days	AFH45	NA	40.5	11	SD04003	Phyllostomidae	Artibeus watsoni	1000197 - Broadleaf forest	In front of a stream	Adult	Female	15.2	-87.59	recQgqRtcmwo7Cea8	Chiroptera	Mammalia	SD0400301	Bats
Faecal	Trap	< 3 hours	< 1 day	AAA52	Piobesi	62	565	SD00359	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	oak-hornbeam forest	Adult	Female	44.94	7.59	recrACkHppgdXdQse	Rodentia	Mammalia	SD0035901	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAL74	NA	56	307	SD01578	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	City Park	Juvenile	Female	41.25	-75.89	recTM9xQvYOxMLTyY	Rodentia	Mammalia	SD0157801	Mammals
Faecal	Housing	< 10 minutes	< 1 day	AGI47	NA	NA	NA	SD03687	Grallariidae	Grallaria quitensis	1000216 - Montane shrubland	Polylepis, woodland, paramo	Adult	Unknown	-2.96	-79.27	recObZmxBDlCLf6We	Passeriformes	Aves	SD0368701	Birds
Faecal	Animal	< 1 minute	< 14 days	AHB79	NA	53	4.04	SD04350	Lacertidae	Podarcis milensis	1000215 - Temperate shrubland	islet	Adult	Male	36.77	24.58	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0435001	Reptiles
Tissue	Animal	< 1 minute	< 14 days	ACC06	NA	42.6	10.9	SD00478	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Mix Pine Oak Forest	Nursing	Female	40.62	-2.13	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0047801	Bats
Faecal	Animal	< 1 minute	< 1 day	ABM21	NA	75	10.44	SD01046	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Stone walls between agricultural fields	Unknown	Male	38.7	1.42	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0104601	Reptiles
Faecal	NA	< 1 minute	< 14 days	AFV95	NA	NA	26.5	SD02103	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Adult	Female	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0210301	Mammals
Tissue	Animal	< 1 minute	< 1 day	ACK45	NA	46	12.5	SD03070	Miniopteridae	Miniopterus schreibersii	1000245 - Cropland	At the cave entrance	Adult	Female	43.23	24.89	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0307001	Bats
Tissue	Animal	NA	NA	AEV71	NA	65	6.86	SD02288	Lacertidae	Podarcis muralis	1000248 - Dense settlement	NA	NA	Unknown	41.73	12.67	recrACkHppgdXdQse	Squamata	Reptilia	SD0228801	Reptiles
Faecal	Animal	< 6 hours	< 1 day	AFU72	NA	54	3.95	SD02652	Lacertidae	Podarcis muralis	1000198 - Mixed forest	Next to the dam	Adult	Female	43.21	-1.79	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0265201	Reptiles
Tissue	Animal	NA	NA	AEV92	NA	62	5.28	SD02307	Lacertidae	Podarcis filfolensis	1000248 - Dense settlement	NA	NA	Male	35.97	14.35	rec4pSrz639KdTCof	Squamata	Reptilia	SD0230701	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 3 days	AAS37	Donostia	NA	260	SD01140	Strigidae	Strix aluco	1000221 - Temperate woodland	Mixed forest	Juvenile	Unknown	43.33	-1.96	recIUTmSxiyqoU5lQ	Strigiformes	Aves	SD0114003	Birds
Faecal	Housing	< 6 hours	< 3 days	ABC79	NA	111	43.9	SD01473	Lacertidae	Lacerta viridis	1000247 - Rangeland	shrubland at city edge	Adult	Male	43.86	18.45	recPWJe1moDn1iat5	Squamata	Reptilia	SD0147301	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AEL10	Pineta	NA	345	SD00311	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Male	45.76	8.9	recrACkHppgdXdQse	Rodentia	Mammalia	SD0031103	Mammals
Faecal	Animal	< 10 minutes	< 3 days	OPAU16	NA	41.2	NA	SD00716	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Woodland surrounding mansion	Adult	Female	55.15	-1.96	recWNrlBagsRxnwjj	Chiroptera	Mammalia	SD0071601	Bats
Faecal	Trap	< 6 hours	< 7 days	AGN51	NA	47.02	1105	SD04594	Peramelidae	Isoodon obesulus affinus	1000246 - Village	(FUM) Extra-urban miscellaneous	Adult	Male	-41.21	146.24	recKtBknH3LqSreF0	Peramelemorphia	Mammalia	SD0459401	Mammals
Faecal	Animal	< 1 minute	< 3 days	ADI19	NA	168.86	4.92	SD00945	Lacertidae	Podarcis muralis	1000246 - Village	cemetery	Adult	Male	42.91	-0.57	recD0072mQhXdzBoy	Squamata	Reptilia	SD0094501	Reptiles
Faecal	NA	< 1 minute	> 28 days	AFV78	NA	73	17	SD02048	Cricetidae	Peromyscus maniculatus	1001805 - Temperate forest	NA	Adult	Male	48.81	-123.51	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0204801	Mammals
Faecal	Housing	< 10 minutes	< 7 days	AFH96	NA	43	17	SD03991	Phyllostomidae	Dermanura azteca	1000197 - Broadleaf forest	In front of a stream	Adult	Female	15.2	-87.59	recQgqRtcmwo7Cea8	Chiroptera	Mammalia	SD0399101	Bats
Faecal	Housing	< 30 minutes	< 1 day	AFZ45	NA	22	20	SD03092	Muridae	Apodemus sylvaticus	1001805 - Temperate forest	Next to pastures	Adult	Female	42.09	2.09	recIUTmSxiyqoU5lQ	Rodentia	Mammalia	SD0309201	Mammals
Faecal	Trap	< 3 hours	< 1 day	AAU79	AddaNord	63	520	SD00436	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	riparian woodland	Adult	Female	45.56	9.52	recrACkHppgdXdQse	Rodentia	Mammalia	SD0043602	Mammals
Faecal	Animal	< 1 minute	< 1 day	ABH86	NA	58	4.45	SD01021	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	Shrubs and dunes in a coastal natural park	Unknown	Male	38.74	1.43	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0102101	Reptiles
Tissue	Animal	< 1 minute	< 1 day	ABC43	ILO	62	580	SD00400	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.02	7.67	recrACkHppgdXdQse	Rodentia	Mammalia	SD0040001	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AIY78	NA	85	15.6	SD04417	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Steep hill covered in deciduous leaf litter on the slope and sandy low grasses at the base.	Adult	Male	41.19	-8.68	recAf61NgigHFbcBU	Urodela	Amphibia	SD0441701	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAM34	NA	54	667	SD01573	Sciuridae	Sciurus carolinensis	1000221 - Temperate woodland	City Park	Adult	Female	41.25	-75.89	recTM9xQvYOxMLTyY	Rodentia	Mammalia	SD0157302	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AIY80	NA	70	11.6	SD04418	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Steep hill covered in deciduous leaf litter on the slope and sandy low grasses at the base.	Adult	Male	41.19	-8.68	recAf61NgigHFbcBU	Urodela	Amphibia	SD0441801	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACD87	NA	76	NA	SD02451	Cardinalidae	Habia rubica	1000252 - Lake or pond	Oxbow lake	Juvenile	Unknown	-12.05	-71.19	recBG9JQuOqHyhhMQ	Passeriformes	Aves	SD0245101	Birds
Faecal	Animal	< 1 minute	< 14 days	AHA74	NA	61	3.96	SD04278	Lacertidae	Podarcis cretensis	1000215 - Temperate shrubland	islet	Adult	Female	35.27	26.33	rec8ZSYhXQpuQrkxi	Squamata	Reptilia	SD0427801	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACH04	Varese	57	340	SD01691	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	parklike habitat	Adult	Male	45.83	8.8	recrACkHppgdXdQse	Rodentia	Mammalia	SD0169101	Mammals
Faecal	Housing	NA	< 1 day	AJP61	NA	59	4.4	SD03848	Salamandridae	Calotriton asper	1000253 - River or stream	NA	Adult	Male	43.03	-1.18	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0384801	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 14 days	AA40	NA	258	603	SD02127	Sciuridae	Sciurus carolinensis	1000197 - Broadleaf forest	NA	Adult	Male	53.2	-4.19	recWNrlBagsRxnwjj	Rodentia	Mammalia	SD0212701	Mammals
Tissue	Animal	< 1 minute	< 1 day	AHV48	NA	216	10	SD03644	Lacertidae	Psammodromus manuelae	1000199 - Mediterranean forest	NA	Adult	Male	40.93	-7.09	recAf61NgigHFbcBU	Squamata	Reptilia	SD0364401	Reptiles
Faecal	Ground	< 30 minutes	< 14 days	AGB96	NA	NA	NA	SD03169	Canidae	Canis familiaris	1001625 - Polar Tundra	NA	Adult	Unknown	70.3	-21.95	recLVY3Rb8dPMd92q	Carnivora	Mammalia	SD0316901	Mammals
Tissue	Animal	< 1 minute	< 1 day	AFO72	NA	9.3	1.7	SD02486	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Sub-adult	Male	40.84	-8.16	recAf61NgigHFbcBU	Squamata	Reptilia	SD0248601	Reptiles
Faecal	Animal	< 1 minute	< 1 day	AFO93	NA	14.4	4.1	SD02496	Lacertidae	Timon lepidus	1000199 - Mediterranean forest	NA	Juvenile	Unknown	40.84	-8.16	recAf61NgigHFbcBU	Squamata	Reptilia	SD0249601	Reptiles
Skin swab	Animal	< 1 minute	> 28 days	AHI32	NA	44.3	6	SD03481	Bombinatoridae	Bombina sp.	1000245 - Cropland	Tire track; onto a field (agriculture)	Adult	Female	45.37	18.16	rec2O52lSpnrJFgtK	Anura	Amphibia	SD0348101	Amphibians
Faecal	Trap	< 6 hours	< 7 days	AGM73	NA	NA	155	SD04558	Muridae	Rattus rattus	1000221 - Temperate woodland	(DAZ) Eucalyptus amygdalina inland forest and woodland on Cainozoic deposits	Adult	Unknown	-41.69	147.25	recKtBknH3LqSreF0	Rodentia	Mammalia	SD0455801	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ABZ36	NA	65	625	SD01868	Sciuridae	Sciurus carolinensis	1000248 - Dense settlement	University Campus	Adult	Male	51.08	-114.14	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0186801	Mammals
Faecal	Housing	< 1 minute	< 7 days	ACB57	NA	41.2	9.1	SD00497	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Mix Deciduous Forest, Botton Valley	Nursing	Female	42.98	-6.36	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0049701	Bats
Tissue	Animal	< 1 minute	< 3 days	ADI67	NA	118.76	3.3	SD00968	Lacertidae	Podarcis muralis	1000194 - Montane grassland	near housing	Adult	Female	42.84	-0.55	recD0072mQhXdzBoy	Squamata	Reptilia	SD0096801	Reptiles
Esophagus swab	Animal	NA	NA	AIF51	Lake Butler	NA	NA	SD02945	Cathartidae	Cathartes aura	NA	NA	Juvenile	Male	30.03	-82.35	recTM9xQvYOxMLTyY	Accipitriformes	Aves	SD0294501	Birds
Tissue	Animal	< 1 minute	< 3 days	ABC80	NA	117.6	38.7	SD01475	Lacertidae	Lacerta viridis	1000247 - Rangeland	shrubland at city edge	Adult	Female	43.86	18.45	recPWJe1moDn1iat5	Squamata	Reptilia	SD0147501	Reptiles
Tissue	Animal	< 1 minute	< 1 day	AHU44	NA	135	4.8	SD03529	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Adult	Male	40.88	-8.27	recAf61NgigHFbcBU	Squamata	Reptilia	SD0352901	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 21 days	AEV48	NA	34	84	SD03392	Sciuridae	Eutamias sibiricus	1000196 - Coniferous forest	Picea-Pinus human disturbed	Nursing	Female	47.77	107	recugcwL74IMJVJls	Rodentia	Mammalia	SD0339201	Mammals
Skin swab	Animal	< 1 minute	< 1 day	AIZ62	NA	115	26.5	SD04462	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Small stream with steep bank running through deciduous grove.	Adult	Male	41.29	-8.61	recAf61NgigHFbcBU	Urodela	Amphibia	SD0446201	Amphibians
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AAD12	Norte	219	387.5	SD00225	Falconidae	Falco eleonorae	1000048 - Ocean	Island	Juvenile	Unknown	29.41	-13.51	recIUTmSxiyqoU5lQ	Falconiformes	Aves	SD0022501	Birds
Faecal	Other	< 3 hours	< 1 day	AGP07	NA	NA	1.7	SD04522	Salamandridae	Lissotriton helveticus	1000252 - Lake or pond	NA	Adult	Male	43.29	-2.19	recIUTmSxiyqoU5lQ	Urodela	Amphibia	SD0452201	Amphibians
Tissue	Animal	< 1 minute	< 1 day	AFP32	NA	12.5	2.1	SD02513	Lacertidae	Podarcis sp.	1000199 - Mediterranean forest	NA	Sub-adult	Male	40.84	-8.16	recAf61NgigHFbcBU	Squamata	Reptilia	SD0251301	Reptiles
Faecal	Animal	< 1 minute	< 1 day	ADM33	Tourmalet	136.82	2.04	SD00824	Lacertidae	Podarcis muralis	1000194 - Montane grassland	NA	Adult	Female	42.92	0.13	recD0072mQhXdzBoy	Squamata	Reptilia	SD0082401	Reptiles
Faecal	NA	< 1 minute	< 14 days	AFW70	NA	88.7	27.5	SD02113	Cricetidae	Peromyscus maniculatus	1000215 - Temperate shrubland	NA	Adult	Female	48.63	-123.29	recqcwTGBWEwznXMJ	Rodentia	Mammalia	SD0211301	Mammals
Anal/cloacal swab	Animal	< 1 minute	< 1 day	AIZ59	NA	110	30.2	SD04460	Salamandridae	Salamandra salamandra gallaica	1000221 - Temperate woodland	Small stream with steep bank running through deciduous grove.	Adult	Male	41.29	-8.61	recAf61NgigHFbcBU	Urodela	Amphibia	SD0446001	Amphibians
