sample_type	sample_origin	sample_freshness	sample_freezing	sample_id	capture_place	specimen_length	specimen_weight	specimen_id	specimen_family	specimen_species	capture_biome	capture_environment	specimen_development	specimen_sex	capture_latitude	capture_longitude	capture_country	specimen_order	specimen_class	capture_id	tax_group
Faecal	Animal	< 1 minute	< 1 day	ACJ41	NA	38.75	6.5	SD01892	Vespertilionidae	Plecotus auritus	1000198 - Mixed forest	At the cave entrance	Adult	Male	41.65	24.53	recIKcYqw1CyfqxgE	Chiroptera	Mammalia	SD0189201	Bats
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACD67	NA	106	17.1	SD01984	Hirundinidae	Tachycineta albiventer	1000252 - Lake or pond	Oxbow lake	Adult	Unknown	-12.05	-71.19	recBG9JQuOqHyhhMQ	Passeriformes	Aves	SD0198401	Birds
Tissue	Animal	< 1 minute	< 1 day	ACG58	Varese	57.5	330	SD01696	Sciuridae	Sciurus vulgaris	1000221 - Temperate woodland	mixed conifer-deciduous wood	Adult	Female	45.84	8.81	recrACkHppgdXdQse	Rodentia	Mammalia	SD0169601	Mammals
Faecal	Housing	< 6 hours	< 3 days	ABC69	NA	117.6	38.7	SD01475	Lacertidae	Lacerta viridis	1000247 - Rangeland	shrubland at city edge	Adult	Female	43.86	18.45	recPWJe1moDn1iat5	Squamata	Reptilia	SD0147501	Reptiles
Faecal	Housing	< 6 hours	< 1 day	ABD98	NA	66	7.75	SD01485	Salamandridae	Salamandra atra	1001505 - Alpine tundra	Dinarides	Adult	Male	43.61	17.6	recPWJe1moDn1iat5	Urodela	Amphibia	SD0148501	Amphibians
Tissue	Animal	NA	NA	AFK85	NA	71	12.41	SD02234	Lacertidae	Podarcis pityusensis	1000215 - Temperate shrubland	NA	NA	Male	39.01	1.29	recIUTmSxiyqoU5lQ	Squamata	Reptilia	SD0223401	Reptiles
Oral swab	Animal	< 1 minute	< 14 days	ABS79	NA	66	340	SD01528	Sciuridae	Sciurus vulgaris	1000197 - Broadleaf forest	Broadleaf forest 	Juvenile	Female	42.91	143.19	recUFOFTQQCc0Urlo	Rodentia	Mammalia	SD0152801	Mammals
Faecal	Housing	< 1 minute	< 14 days	ACB20	NA	42.2	8.8	SD00474	Vespertilionidae	Plecotus auritus	1000221 - Temperate woodland	Grassland in Pine Forest, Botton Valley	Adult	Male	40.38	-1.89	recIUTmSxiyqoU5lQ	Chiroptera	Mammalia	SD0047401	Bats
Tissue	Animal	NA	NA	AEV96	NA	80	10.18	SD02304	Lacertidae	Podarcis filfolensis	1000218 - Xeric shrubland	NA	NA	Male	35.79	14.41	rec4pSrz639KdTCof	Squamata	Reptilia	SD0230401	Reptiles
Anal/cloacal swab	Animal	< 1 minute	< 1 day	ACY13	NA	16.8	6.6	SD02612	Lacertidae	Psammodromus manuelae	1000199 - Mediterranean forest	NA	Adult	Female	40.92	-7.1	recAf61NgigHFbcBU	Squamata	Reptilia	SD0261201	Reptiles
