"library_id","library_batch","sample_id","extraction_id","sequencing_datasets","library_input_volume","library_input_dna","library_input_dna_concentration","library_adaptor_molarity","library_PCR_cycles_required"
"C1_EXB0003E1L1","LIB0005","C1_EXB0003","C1_EXB0003E1","",24,0,0,10,19
"ABJ71E1L1","LIB0005","ABJ71","ABJ71E1","",24,336,14,20,NA
"ABJ53E1L1","LIB0005","ABJ53","ABJ53E1","EHI00130",15,189,12.6,20,10
"ABL72E1L1","LIB0005","ABL72","ABL72E1","",24,432,18,20,NA
"AAW22E1L1","LIB0005","AAW22","AAW22E1","EHI00135",24,71.3,2.97,20,13
"ABK59E1L1","LIB0005","ABK59","ABK59E1","EHI00119",20,200,10,20,10
"ABK96E1L1","LIB0005","ABK96","ABK96E1","EHI00131",24,74.4,3.1,20,10
"ABI42E1L1","LIB0005","ABI42","ABI42E1","EHI00122",12,188.4,15.7,20,10
"ABK44E1L1","LIB0005","ABK44","ABK44E1","EHI00116",24,182.2,7.59,20,10
"ABL64E1L1","LIB0005","ABL64","ABL64E1","EHI00133",24,19.6,0.82,10,13
"ABK41E1L1","LIB0005","ABK41","ABK41E1","EHI00137",24,127.7,5.32,20,10
"ABL33E1L1","LIB0005","ABL33","ABL33E1","EHI00129",15,198,13.2,20,10
"ABI44E1L1","LIB0005","ABI44","ABI44E1","EHI00124",24,50.6,2.11,20,13
"ABK69E1L1","LIB0005","ABK69","ABK69E1","EHI00117",24,145.9,6.08,20,13
"ABK05E1L1","LIB0005","ABK05","ABK05E1","",24,132.7,5.53,20,NA
"ABL76E1L1","LIB0005","ABL76","ABL76E1","EHI00128",19,193.8,10.2,20,10
"ABJ55E1L1","LIB0005","ABJ55","ABJ55E1","EHI00134",24,189.1,7.88,20,10
"AAW27E1L1","LIB0005","AAW27","AAW27E1","EHI00123",24,25.2,1.05,10,16
"ABK48E1L1","LIB0005","ABK48","ABK48E1","EHI00138",24,118.6,4.94,20,10
"ABL03E1L1","LIB0005","ABL03","ABL03E1","EHI00115",24,84,3.5,20,13
"AAW17E1L1","LIB0005","AAW17","AAW17E1","EHI00132,EHI01245",24,14,0.59,10,16
"ABJ59E1L1","LIB0005","ABJ59","ABJ59E1","EHI00125",24,75.8,3.16,20,13
"ABL53E1L1","LIB0005","ABL53","ABL53E1","EHI00121",24,142.1,5.92,20,10
"ABL57E1L1","LIB0005","ABL57","ABL57E1","EHI00118",24,169.4,7.06,20,10
"AAW32E1L1","LIB0005","AAW32","AAW32E1","EHI00136,EHI01246",24,8,0.34,10,16
"AAW23E1L1","LIB0005","AAW23","AAW23E1","EHI00127,EHI01244",24,79.2,3.3,20,10
"AAB74E1L1","LIB0006","AAB74","AAB74E1","",24,0,0,10,0
"AAB78E1L2","LIB0006","AAB78","AAB78E1","",24,1.7,0.07,10,0
"AAC26E1L2","LIB0006","AAC26","AAC26E1","",24,0,0,10,0
"AAW10E1L2","LIB0006","AAW10","AAW10E1","",24,73.2,3.05,20,0
"AAC14E1L2","LIB0006","AAC14","AAC14E1","",24,3.4,0.14,10,0
"AAC40E1L2","LIB0006","AAC40","AAC40E1","",24,2.2,0.09,10,0
"C1_EXB0002E1L2","LIB0006","C1_EXB0002","C1_EXB0002E1","",24,0,0,10,0
"AAB64E1L2","LIB0006","AAB64","AAB64E1","",24,9.1,0.38,10,0
"AAC55E1L2","LIB0006","AAC55","AAC55E1","",24,6.7,0.28,10,0
"AAB84E1L2","LIB0006","AAB84","AAB84E1","",24,49.4,2.06,10,0
"AAW16E1L2","LIB0006","AAW16","AAW16E1","",17,389.3,22.9,50,0
"AAC28E1L2","LIB0006","AAC28","AAC28E1","",24,0,0,10,0
"AAB96E1L2","LIB0006","AAB96","AAB96E1","",24,20.4,0.85,10,0
"AAC36E1L2","LIB0006","AAC36","AAC36E1","",24,3.1,0.13,10,0
"AAC09E1L2","LIB0006","AAC09","AAC09E1","",24,32.4,1.35,10,0
"AAC15E1L2","LIB0006","AAC15","AAC15E1","",24,1.7,0.07,10,0
"AAB69E1L2","LIB0006","AAB69","AAB69E1","",24,0,0,10,0
"AAC79E1L2","LIB0006","AAC79","AAC79E1","",24,0,0,10,0
"AAC21E1L2","LIB0006","AAC21","AAC21E1","",24,0,0,10,0
"AAC07E1L2","LIB0006","AAC07","AAC07E1","",24,2.2,0.09,10,0
"AAC33E1L2","LIB0006","AAC33","AAC33E1","",11,382.8,34.8,50,0
"AAD09E1L2","LIB0006","AAD09","AAD09E1","",24,0,0,10,0
"AAC06E1L2","LIB0006","AAC06","AAC06E1","",24,0,0,10,0
"AAS14E1L1","LIB0009","AAS14","AAS14E1","",27,2.8,0.1,10,23
"AAS05E1L1","LIB0009","AAS05","AAS05E1","",27,19.3,0.71,10,24
"AAS15E1L1","LIB0009","AAS15","AAS15E1","",27,13.4,0.5,10,22
"AAS13E1L1","LIB0009","AAS13","AAS13E1","",27,6.1,0.23,10,25
"AAS16E1L1","LIB0009","AAS16","AAS16E1","",27,40.2,1.49,10,20
"C1_EXB0004E1L1","LIB0009","C1_EXB0004","C1_EXB0004E1","",27,0,0,10,22
"AAS06E1L1","LIB0009","AAS06","AAS06E1","",27,17.3,0.64,10,23
"AAS01E1L1","LIB0009","AAS01","AAS01E1","",27,8.4,0.31,10,23
"AAS27E1L1","LIB0009","AAS27","AAS27E1","EHI00006",27,3.2,0.12,10,19
"AAS19E1L1","LIB0009","AAS19","AAS19E1","EHI00012",27,22.7,0.84,10,12
"AAS41E1L1","LIB0009","AAS41","AAS41E1","EHI00014",27,4.1,0.15,10,16
"C2_EXB0004E1L1","LIB0009","C2_EXB0004","C2_EXB0004E1","",27,0,0,10,24
"AAS29E1L1","LIB0009","AAS29","AAS29E1","EHI00019",27,4.6,0.17,10,16
"AAS42E1L1","LIB0009","AAS42","AAS42E1","EHI00011",27,9.3,0.35,10,18
"AAS20E1L1","LIB0009","AAS20","AAS20E1","EHI00015",27,13.3,0.49,10,13
"AAS24E1L1","LIB0009","AAS24","AAS24E1","EHI00022",10.5,400.1,38.1,50,11
"AAS18E1L1","LIB0009","AAS18","AAS18E1","EHI00016",27,4.2,0.16,10,19
"AAS39E1L1","LIB0009","AAS39","AAS39E1","EHI00009",18.7,400.2,21.4,50,11
"AAS17E1L1","LIB0009","AAS17","AAS17E1","EHI00013",27,84,3.11,20,13
"AAS28E1L1","LIB0009","AAS28","AAS28E1","",27,0,0,10,23
"AAS30E1L1","LIB0009","AAS30","AAS30E1","EHI00020",27,18.2,0.67,10,11
"AAS23E1L1","LIB0009","AAS23","AAS23E1","EHI00017",9.8,400.8,40.9,50,8
"AAS34E1L1","LIB0009","AAS34","AAS34E1","",27,6.2,0.23,10,21
"AAS37E1L1","LIB0009","AAS37","AAS37E1","EHI00010",27,4.7,0.17,10,16
